cycle_nodes,cycle_edges,vorticity
"Tabara M.,Hanescu V.,Minar I.,Baghdatis M.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Enqvist T.,Tabara M.","(Tabara M.,Hanescu V.);(Hanescu V.,Minar I.);(Minar I.,Baghdatis M.);(Baghdatis M.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Enqvist T.);(Enqvist T.,Tabara M.)",70.0
"Ginepri R.,Fish M.,Soderling R.,Lopez F.,Ancic M.,Dent T.,Ginepri R.","(Ginepri R.,Fish M.);(Fish M.,Soderling R.);(Soderling R.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Dent T.);(Dent T.,Ginepri R.)",-60.0
"Kiefer N.,Kohlschreiber P.,Soderling R.,Lopez F.,Ancic M.,Beck K.,Kiefer N.","(Kiefer N.,Kohlschreiber P.);(Kohlschreiber P.,Soderling R.);(Soderling R.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Beck K.);(Beck K.,Kiefer N.)",-60.0
"Kiefer N.,Kohlschreiber P.,Soderling R.,Lopez F.,Ancic M.,Hernych J.,Clement A.,Kiefer N.","(Kiefer N.,Kohlschreiber P.);(Kohlschreiber P.,Soderling R.);(Soderling R.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Hernych J.);(Hernych J.,Clement A.);(Clement A.,Kiefer N.)",-60.0
"Kiefer N.,Kohlschreiber P.,Soderling R.,Lopez F.,Ancic M.,Henman T.,Kiefer N.","(Kiefer N.,Kohlschreiber P.);(Kohlschreiber P.,Soderling R.);(Soderling R.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Henman T.);(Henman T.,Kiefer N.)",-60.0
"Hrbaty D.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Ginepri R.,Hrbaty D.","(Hrbaty D.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Ginepri R.);(Ginepri R.,Hrbaty D.)",60.0
"Phau B.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Ginepri R.,Phau B.","(Phau B.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Ginepri R.);(Ginepri R.,Phau B.)",60.0
"Robredo T.,Minar I.,Baghdatis M.,Ancic M.,Lopez F.,Soderling R.,Kohlschreiber P.,Kiefer N.,Robredo T.","(Robredo T.,Minar I.);(Minar I.,Baghdatis M.);(Baghdatis M.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Kohlschreiber P.);(Kohlschreiber P.,Kiefer N.);(Kiefer N.,Robredo T.)",60.0
"Henman T.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Ginepri R.,Henman T.","(Henman T.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Ginepri R.);(Ginepri R.,Henman T.)",60.0
"Robredo T.,Minar I.,Baghdatis M.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Enqvist T.,Robredo T.","(Robredo T.,Minar I.);(Minar I.,Baghdatis M.);(Baghdatis M.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Enqvist T.);(Enqvist T.,Robredo T.)",60.0
"Fish M.,Soderling R.,Lopez F.,Ancic M.,Dent T.,Fish M.","(Fish M.,Soderling R.);(Soderling R.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Dent T.);(Dent T.,Fish M.)",-50.00000000000001
"Haas T.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Haas T.","(Haas T.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Haas T.)",50.00000000000001
"Lapentti N.,Massu N.,Costa A.,Roddick A.,Ancic M.,Lopez F.,Soderling R.,Kohlschreiber P.,Kiefer N.,Lapentti N.","(Lapentti N.,Massu N.);(Massu N.,Costa A.);(Costa A.,Roddick A.);(Roddick A.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Kohlschreiber P.);(Kohlschreiber P.,Kiefer N.);(Kiefer N.,Lapentti N.)",50.00000000000001
"Kohlschreiber P.,Soderling R.,Lopez F.,Ancic M.,Hernych J.,Kohlschreiber P.","(Kohlschreiber P.,Soderling R.);(Soderling R.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Hernych J.);(Hernych J.,Kohlschreiber P.)",-50.0
"Ferrero J.C.,Lopez F.,Ancic M.,Hernych J.,Clement A.,Ferrero J.C.","(Ferrero J.C.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Hernych J.);(Hernych J.,Clement A.);(Clement A.,Ferrero J.C.)",-50.0
"Ferrero J.C.,Lopez F.,Ancic M.,Baghdatis M.,Minar I.,Hanescu V.,Behrend T.,Ferrero J.C.","(Ferrero J.C.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Baghdatis M.);(Baghdatis M.,Minar I.);(Minar I.,Hanescu V.);(Hanescu V.,Behrend T.);(Behrend T.,Ferrero J.C.)",-50.0
"Martin A.,Zabaleta M.,Lopez F.,Ancic M.,Lee H.T.,Martin A.","(Martin A.,Zabaleta M.);(Zabaleta M.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Lee H.T.);(Lee H.T.,Martin A.)",-50.0
"Martin A.,Zabaleta M.,Lopez F.,Ancic M.,Blake J.,Martin A.","(Martin A.,Zabaleta M.);(Zabaleta M.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Blake J.);(Blake J.,Martin A.)",-50.0
"Martin A.,Zabaleta M.,Lopez F.,Ancic M.,Hernych J.,Martin A.","(Martin A.,Zabaleta M.);(Zabaleta M.,Lopez F.);(Lopez F.,Ancic M.);(Ancic M.,Hernych J.);(Hernych J.,Martin A.)",-50.0
"Gonzalez F.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Ginepri R.,Gonzalez F.","(Gonzalez F.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Ginepri R.);(Ginepri R.,Gonzalez F.)",50.0
"Horna L.,Roddick A.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Ginepri R.,Horna L.","(Horna L.,Roddick A.);(Roddick A.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Ginepri R.);(Ginepri R.,Horna L.)",50.0
"Horna L.,Roddick A.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Enqvist T.,Horna L.","(Horna L.,Roddick A.);(Roddick A.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Enqvist T.);(Enqvist T.,Horna L.)",50.0
"Mello R.,Ancic M.,Lopez F.,Zabaleta M.,Martin A.,Mello R.","(Mello R.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Zabaleta M.);(Zabaleta M.,Martin A.);(Martin A.,Mello R.)",50.0
"Nadal R.,Hanescu V.,Minar I.,Baghdatis M.,Ancic M.,Lopez F.,Soderling R.,Fish M.,Ginepri R.,Nadal R.","(Nadal R.,Hanescu V.);(Hanescu V.,Minar I.);(Minar I.,Baghdatis M.);(Baghdatis M.,Ancic M.);(Ancic M.,Lopez F.);(Lopez F.,Soderling R.);(Soderling R.,Fish M.);(Fish M.,Ginepri R.);(Ginepri R.,Nadal R.)",50.0
