Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Djokovic N.,54,-0.851552,0.031782,0.375000
Behrend T.,55,-0.786647,0.107253,0.545455
Youzhny M.,56,-0.746720,0.002486,0.228571
Enqvist T.,57,-0.697692,0.097414,0.307692
Sanguinetti D.,58,-0.647472,0.147878,0.351351
Seppi A.,59,-0.601033,0.141638,0.333333
Wawrinka S.,60,-0.545933,0.051025,0.437500
Srichaphan P.,61,-0.485767,0.121721,0.422222
Volandri F.,62,-0.245729,0.282312,0.341463
Tabara M.,63,-0.240694,0.006225,0.333333
Beck K.,64,-0.210889,0.063118,0.312500
Chela J.I.,65,-0.193769,-0.043091,0.295455
Ulihrach B.,66,-0.192353,-0.000565,0.000000
Bracciali D.,67,-0.167421,0.095547,0.400000
Rochus C.,68,-0.126498,0.224627,0.423077
Malisse X.,69,-0.124134,-0.105295,0.218750
Serra F.,70,0.099632,0.249807,0.500000
Mello R.,71,0.192498,-0.034061,0.181818
Phau B.,72,0.208208,0.055636,0.285714
Soderling R.,73,0.229034,0.533226,0.592593
Muller G.,74,0.381668,,0.387097
Mayer F.,75,0.436131,0.376615,0.432432
Pavel A.,76,0.447470,0.007773,0.280000
Martin A.,77,0.525392,0.063469,0.418605
Horna L.,78,0.696105,0.354910,0.451613
Baghdatis M.,79,0.768393,0.119282,0.500000
Gimelstob J.,80,0.883062,-0.054184,0.000000
Almagro N.,81,0.940908,-0.087531,0.208333
di Mauro A.,82,1.008380,0.017744,0.500000
Novak J.,83,1.218282,0.026717,0.303030
Hernych J.,84,1.227929,0.098460,0.333333
Garcia-Lopez G.,85,1.228307,-0.078974,0.241379
Fish M.,86,1.243291,-0.069958,0.090909
Massu N.,87,1.253026,-0.001784,0.321429
Benneteau J.,88,1.268691,-0.079595,0.200000
Kuerten G.,89,1.283384,0.052489,0.666667
Arthurs W.,90,1.321391,-0.016696,0.380952
Costa A.,91,1.367683,-0.008279,0.277778
Clement A.,92,1.408640,0.058798,0.333333
Spadea V.,93,1.445632,-0.052896,0.433333
Bjorkman J.,94,1.445739,0.320745,0.476190
Schalken S.,95,1.448757,-0.027741,0.230769
Zib T.,96,1.452562,-0.014949,0.366667
Llodra M.,97,1.579999,-0.040235,0.263158
Vik R.,98,1.895912,0.108907,0.444444
Monaco J.,99,2.499309,0.066112,0.343750
Saulnier C.,100,2.575526,-0.068356,0.266667
Lapentti N.,101,2.662006,0.125576,0.454545
Mathieu P.,102,2.745769,-0.071741,0.000000
Goldstein P.,103,2.861374,-0.001743,0.500000
Lee H.T.,104,2.956644,-0.111780,0.300000
Kim K.,105,3.036023,-0.115885,0.275862
Starace P.,106,3.070183,0.121494,0.454545
Minar I.,107,3.111704,0.002413,0.333333
Montanes A.,108,3.209721,0.087813,0.333333
Wang Y.T.,109,3.351470,-0.055698,0.000000
Schuettler R.,110,3.480656,-0.114554,0.230769
Carlsen K.,111,3.725630,-0.101218,0.240000
Dlouhy L.,112,4.179840,-0.073982,0.333333
Ventura S.,113,4.209904,-0.129501,0.230769
Sabau R.,114,4.311001,-0.030405,0.083333
Wessels P.,115,4.318467,-0.115920,0.272727
Ascione T.,116,4.580053,-0.057725,0.000000
Kohlschreiber P.,117,4.617313,-0.097703,0.160000
Burgsmuller L.,118,4.717749,-0.066386,0.333333
Sluiter R.,119,5.023029,0.019593,0.500000
Labadze I.,120,5.731532,-0.018664,0.500000
Vanek J.,121,5.875431,-0.171489,0.083333
Koubek S.,122,6.118641,-0.070390,0.250000
Hernandez O.,123,6.178912,-0.108129,0.272727
Lisnard J.R.,124,7.342709,0.040464,0.714286
Sargsian S.,125,7.560626,-0.168038,0.285714
Morrison J.,126,8.007163,-0.031859,0.000000
Vliegen K.,127,8.007163,-0.031859,0.000000
Calatrava A.,128,8.150636,-0.228407,0.000000
Tipsarevic J.,129,8.372969,-0.144845,0.400000
Haehnel J.,130,8.936067,-0.169630,0.166667
Sanchez D.,131,9.218188,-0.018182,0.571429
Carraz G.,132,9.227317,-0.062358,0.500000
Dupuis A.,133,9.853333,-0.089437,0.666667
Waske A.,134,10.381668,-0.031859,1.000000
Lu Y.H.,135,12.097166,-0.058990,0.500000
