Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Federer R.,1,-12.614698,-1.053967,0.041096
Hewitt L.,2,-10.342582,-0.378567,0.200000
Nadal R.,3,-9.543450,-0.740427,0.103896
Agassi A.,4,-8.626098,-0.299393,0.209302
Blake J.,5,-7.977744,-0.256451,0.086957
Roddick A.,6,-7.976772,-0.198836,0.181818
Murray A.,7,-7.834169,-0.008836,0.000000
Ljubicic I.,8,-6.740378,0.194505,0.287879
Gonzalez F.,9,-6.657845,0.109210,0.196078
Gaudio G.,10,-6.463568,-0.287880,0.254237
Davydenko N.,11,-6.371178,0.159535,0.285714
Gasquet R.,12,-5.600077,-0.188074,0.178571
Safin M.,13,-5.252369,0.086215,0.259259
Coria G.,14,-5.182960,-0.077559,0.222222
Ginepri R.,15,-4.961950,0.166550,0.250000
Dent T.,16,-4.893113,0.140310,0.351351
Kiefer N.,17,-4.847363,-0.032629,0.333333
Nalbandian D.,18,-4.779812,0.243062,0.395833
Stepanek R.,19,-4.766394,0.176490,0.327273
Stakhovsky S.,20,-4.478015,0.059352,0.666667
Johansson T.,21,-4.413225,0.165336,0.277778
Grosjean S.,22,-4.283153,0.174095,0.275000
Hanescu V.,23,-4.217946,-0.090883,0.235294
Canas G.,24,-4.164729,0.000323,0.166667
Ferrero J.C.,25,-4.147613,0.036982,0.269841
Johansson J.,26,-3.916398,0.220860,0.347826
Henman T.,27,-3.754232,0.149109,0.363636
Moodie W.,28,-3.753610,0.207768,0.500000
Rusedski G.,29,-3.630519,-0.159776,0.272727
Ancic M.,30,-3.536583,0.116716,0.294118
Verdasco F.,31,-3.480371,0.129852,0.372549
Ferrer D.,32,-3.189122,0.132788,0.320755
Rochus O.,33,-3.138658,0.127591,0.301887
Robredo T.,34,-3.120380,0.138357,0.318182
Berdych T.,35,-3.090431,0.141356,0.312500
Tursunov D.,36,-3.023162,-0.000638,0.500000
Mantilla F.,37,-2.884471,-0.058092,0.200000
Hrbaty D.,38,-2.863121,0.277325,0.392157
Nieminen J.,39,-2.513814,0.266159,0.333333
Santoro F.,40,-2.490151,0.415932,0.393939
Lopez F.,41,-2.279624,0.146834,0.295455
Acasuso J.,42,-2.238024,0.278197,0.416667
Mathieu P.H.,43,-2.081417,0.151541,0.343750
Moya C.,44,-2.020330,0.121312,0.290323
Haas T.,45,-1.992837,,0.292683
Karlovic I.,46,-1.788108,0.513019,0.437500
Andreev I.,47,-1.786828,0.176222,0.358491
Zabaleta M.,48,-1.779645,0.236867,0.392857
Calleri A.,49,-1.541367,-0.010315,0.366667
Mirnyi M.,50,-1.494764,0.186416,0.395833
Monfils G.,51,-1.488965,0.608749,0.600000
Puerta M.,52,-1.242000,0.319534,0.347826
Melzer J.,53,-1.088562,0.361075,0.416667
