k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},71.905804,49.542640,87.320775,82.346731,20,190
1,{Brighton},66.194210,48.248003,81.911802,80.811567,19,171
1,{Brentford},68.768055,49.765995,84.886393,81.011871,19,171
1,{Tottenham},66.483769,47.888364,81.935260,81.141829,19,171
1,{Liverpool},69.072314,49.420667,84.931660,81.326933,19,171
1,{West Ham},67.164662,47.962206,82.531601,81.380540,19,171
1,{Aston Villa},68.727470,48.867166,84.329503,81.498725,19,171
1,{Chelsea},67.864204,48.019943,83.135222,81.631110,19,171
1,{Leicester},66.516294,46.806959,81.334548,81.781107,19,171
1,{Fulham},66.051834,46.394654,80.717462,81.830910,19,171
1,{Nott'm Forest},69.045818,48.416320,84.329503,81.876231,19,171
1,{Wolves},68.262224,47.472683,83.146779,82.098459,19,171
1,{Everton},70.188404,48.777942,85.473386,82.117262,19,171
1,{Newcastle},68.262335,47.432024,83.123663,82.121424,19,171
1,{Southampton},66.430335,45.851055,80.717462,82.299831,19,171
1,{Crystal Palace},68.006737,46.781092,82.543243,82.389224,19,171
1,{Leeds},69.048763,47.347772,83.723015,82.472858,19,171
1,{Bournemouth},68.281243,46.420926,82.566522,82.698461,19,171
1,{Man United},69.069869,46.289741,83.146779,83.069807,19,171
1,{Arsenal},68.321091,44.152679,81.346362,83.987888,19,171
1,{Man City},68.373851,42.899012,80.717462,84.707632,19,171
2,"{Brentford, Brighton}",62.654302,48.648592,79.323685,78.985617,18,153
2,"{Brighton, West Ham}",61.407016,47.172757,77.434428,79.301956,18,153
2,"{Brentford, Tottenham}",62.969166,48.280169,79.347909,79.358319,18,153
2,"{Brighton, Liverpool}",63.210447,48.003891,79.372125,79.638094,18,153
2,"{Brighton, Southampton}",60.138990,45.642481,75.497909,79.656498,18,153
2,"{Brentford, West Ham}",64.226855,48.653449,80.574481,79.711162,18,153
2,"{Brentford, Liverpool}",65.775148,49.676944,82.426748,79.798305,18,153
2,"{Brighton, Chelsea}",62.337651,47.011784,78.077465,79.840772,18,153
2,"{Liverpool, West Ham}",64.412229,48.487101,80.622170,79.893942,18,153
2,"{Tottenham, West Ham}",61.379364,46.199889,76.823538,79.896559,18,153
2,"{Aston Villa, Brentford}",65.375916,49.195105,81.817900,79.904173,18,153
2,"{Leicester, Liverpool}",63.460167,47.713573,79.396334,79.928334,18,153
2,"{Brighton, Tottenham}",61.422523,46.100825,76.798518,79.978787,18,153
2,"{Brighton, Leicester}",60.467177,45.228050,75.510635,80.077697,18,153
2,"{Brighton, Nott'm Forest}",63.094153,47.086519,78.727457,80.142501,18,153
2,"{Fulham, Tottenham}",60.538989,45.153169,75.523360,80.159290,18,153
2,"{Brighton, Wolves}",62.604214,46.676813,78.089772,80.169544,18,153
2,"{Aston Villa, Tottenham}",63.637822,47.435871,79.372125,80.176538,18,153
2,"{Brentford, Nott'm Forest}",65.609607,48.883006,81.817900,80.189795,18,153
2,"{Liverpool, Tottenham}",64.165239,47.798307,80.011599,80.194921,18,153
2,"{Chelsea, Tottenham}",62.128630,46.280550,77.471647,80.195314,18,153
2,"{Aston Villa, Liverpool}",65.693772,48.848586,81.864864,80.246602,18,153
2,"{Brentford, Southampton}",63.171813,46.961822,78.715250,80.253588,18,153
2,"{Brentford, Chelsea}",64.696576,48.047080,80.586406,80.282245,18,153
2,"{Aston Villa, Brighton}",63.728848,47.272873,79.347909,80.315725,18,153
2,"{Brentford, Fulham}",62.710318,46.513509,78.077465,80.318077,18,153
2,"{Leicester, Tottenham}",60.715214,44.915928,75.523360,80.392629,18,153
2,"{Chelsea, Liverpool}",64.837511,47.916921,80.622170,80.421442,18,153
2,"{Brentford, Leicester}",63.318987,46.763196,78.715250,80.440559,18,153
2,"{Brighton, Crystal Palace}",61.788153,45.630674,76.811029,80.441771,18,153
2,"{Chelsea, West Ham}",62.844371,46.373691,78.102076,80.464406,18,153
2,"{Nott'm Forest, Tottenham}",63.899184,47.083208,79.372125,80.505825,18,153
2,"{Newcastle, Tottenham}",62.889877,46.291206,78.089772,80.535358,18,153
2,"{Brighton, Leeds}",62.885190,46.276813,78.077465,80.542049,18,153
2,"{Brighton, Everton}",64.399620,47.360470,79.939509,80.560440,18,153
2,"{Brighton, Newcastle}",62.423745,45.818846,77.434428,80.614975,18,153
2,"{Everton, Tottenham}",64.478422,47.314096,79.975563,80.622655,18,153
2,"{Aston Villa, West Ham}",64.008601,46.934350,79.372125,80.643678,18,153
2,"{Aston Villa, Fulham}",62.499593,45.778346,77.471647,80.674151,18,153
2,"{Brentford, Newcastle}",65.498888,47.960617,81.180818,80.682715,18,153
2,"{Brentford, Everton}",66.992272,48.994273,82.996406,80.717077,18,153
2,"{Chelsea, Leicester}",62.560255,45.695411,77.471647,80.752452,18,153
2,"{Brentford, Wolves}",65.127575,47.481466,80.598329,80.805118,18,153
2,"{Aston Villa, Chelsea}",64.656900,47.090314,79.987577,80.833678,18,153
2,"{West Ham, Wolves}",63.149632,45.957134,78.102076,80.855255,18,153
2,"{Fulham, Liverpool}",63.210143,45.936669,78.138977,80.894511,18,153
2,"{Brentford, Crystal Palace}",64.688676,47.005787,79.963547,80.897707,18,153
2,"{Aston Villa, Newcastle}",64.707104,47.000865,79.975563,80.908595,18,153
2,"{Aston Villa, Nott'm Forest}",65.733405,47.739435,81.239979,80.912632,18,153
2,"{Aston Villa, Southampton}",63.210313,45.894580,78.114378,80.920202,18,153
2,"{Aston Villa, Leicester}",63.210447,45.894394,78.114378,80.920375,18,153
2,"{Newcastle, West Ham}",63.229420,45.826334,78.089772,80.970169,18,153
2,"{Tottenham, Wolves}",62.737382,45.451919,77.471647,80.981088,18,153
2,"{Nott'm Forest, West Ham}",64.272132,46.552180,79.360018,80.988052,18,153
2,"{Liverpool, Nott'm Forest}",66.312250,47.985620,81.853126,81.013705,18,153
2,"{Chelsea, Fulham}",61.724045,44.653333,76.182530,81.021259,18,153
2,"{Aston Villa, Everton}",67.287433,48.627650,83.019558,81.050098,18,153
2,"{Bournemouth, Brighton}",62.795048,45.372216,77.471647,81.055523,18,153
2,"{Brighton, Fulham}",61.215028,44.188851,75.497909,81.081753,18,153
2,"{Fulham, Leicester}",60.716738,43.808417,74.871221,81.094895,18,153
2,"{Everton, Liverpool}",67.363321,48.562058,83.042703,81.118893,18,153
2,"{Liverpool, Wolves}",65.419430,47.139731,80.634087,81.131233,18,153
2,"{Fulham, Nott'm Forest}",63.383030,45.655751,78.114378,81.141310,18,153
2,"{Brentford, Leeds}",65.882757,47.452179,81.192653,81.143742,18,153
2,"{Southampton, West Ham}",61.287844,44.131372,75.523360,81.150845,18,153
