cycle_nodes,cycle_edges,vorticity
"West Ham,Bournemouth,Leicester,West Ham","(West Ham,Bournemouth);(Bournemouth,Leicester);(Leicester,West Ham)",-30.0
"Fulham,Bournemouth,Brighton,Fulham","(Fulham,Bournemouth);(Bournemouth,Brighton);(Brighton,Fulham)",21.38629436111989
"Brighton,Bournemouth,Aston Villa,Brighton","(Brighton,Bournemouth);(Bournemouth,Aston Villa);(Aston Villa,Brighton)",-20.0
"West Ham,Bournemouth,Liverpool,West Ham","(West Ham,Bournemouth);(Bournemouth,Liverpool);(Liverpool,West Ham)",-20.0
"Southampton,Bournemouth,Chelsea,Southampton","(Southampton,Bournemouth);(Bournemouth,Chelsea);(Chelsea,Southampton)",20.0
"Tottenham,Bournemouth,Brighton,Tottenham","(Tottenham,Bournemouth);(Bournemouth,Brighton);(Brighton,Tottenham)",20.0
"Tottenham,Bournemouth,Crystal Palace,Tottenham","(Tottenham,Bournemouth);(Bournemouth,Crystal Palace);(Crystal Palace,Tottenham)",20.0
"West Ham,Bournemouth,Brentford,West Ham","(West Ham,Bournemouth);(Bournemouth,Brentford);(Brentford,West Ham)",-18.61370563888011
"Man City,Bournemouth,Brentford,Man City","(Man City,Bournemouth);(Bournemouth,Brentford);(Brentford,Man City)",-18.61370563888011
"Wolves,Bournemouth,Leicester,Wolves","(Wolves,Bournemouth);(Bournemouth,Leicester);(Leicester,Wolves)",-18.61370563888011
"Leicester,Bournemouth,Brighton,Leicester","(Leicester,Bournemouth);(Bournemouth,Brighton);(Brighton,Leicester)",18.61370563888011
"Leicester,Bournemouth,Crystal Palace,Leicester","(Leicester,Bournemouth);(Bournemouth,Crystal Palace);(Crystal Palace,Leicester)",18.61370563888011
"Fulham,Bournemouth,Crystal Palace,Fulham","(Fulham,Bournemouth);(Bournemouth,Crystal Palace);(Crystal Palace,Fulham)",12.772588722239782
"Fulham,Bournemouth,Chelsea,Fulham","(Fulham,Bournemouth);(Bournemouth,Chelsea);(Chelsea,Fulham)",12.772588722239782
"Nott'm Forest,Bournemouth,Brighton,Nott'm Forest","(Nott'm Forest,Bournemouth);(Bournemouth,Brighton);(Brighton,Nott'm Forest)",12.772588722239782
"Nott'm Forest,Bournemouth,Crystal Palace,Nott'm Forest","(Nott'm Forest,Bournemouth);(Bournemouth,Crystal Palace);(Crystal Palace,Nott'm Forest)",12.772588722239782
"West Ham,Bournemouth,Tottenham,West Ham","(West Ham,Bournemouth);(Bournemouth,Tottenham);(Tottenham,West Ham)",-11.38629436111989
