cycle_nodes,cycle_edges,vorticity
"Man City,Liverpool,Fulham,Man City","(Man City,Liverpool);(Liverpool,Fulham);(Fulham,Man City)",21.38629436111989
"Man City,Liverpool,Chelsea,Man City","(Man City,Liverpool);(Liverpool,Chelsea);(Chelsea,Man City)",20.0
"Bournemouth,Liverpool,Arsenal,Bournemouth","(Bournemouth,Liverpool);(Liverpool,Arsenal);(Arsenal,Bournemouth)",20.0
"West Ham,Liverpool,Man United,West Ham","(West Ham,Liverpool);(Liverpool,Man United);(Man United,West Ham)",18.613705638880113
"Everton,Liverpool,Bournemouth,Everton","(Everton,Liverpool);(Liverpool,Bournemouth);(Bournemouth,Everton)",-18.61370563888011
"Crystal Palace,Liverpool,Brentford,Crystal Palace","(Crystal Palace,Liverpool);(Liverpool,Brentford);(Brentford,Crystal Palace)",-18.61370563888011
"Tottenham,Liverpool,Man United,Tottenham","(Tottenham,Liverpool);(Liverpool,Man United);(Man United,Tottenham)",18.61370563888011
"Wolves,Liverpool,Man United,Wolves","(Wolves,Liverpool);(Liverpool,Man United);(Man United,Wolves)",18.61370563888011
"Fulham,Liverpool,Aston Villa,Fulham","(Fulham,Liverpool);(Liverpool,Aston Villa);(Aston Villa,Fulham)",-12.772588722239782
"Fulham,Liverpool,Bournemouth,Fulham","(Fulham,Liverpool);(Liverpool,Bournemouth);(Bournemouth,Fulham)",-12.772588722239782
"Nott'm Forest,Liverpool,Newcastle,Nott'm Forest","(Nott'm Forest,Liverpool);(Liverpool,Newcastle);(Newcastle,Nott'm Forest)",-12.772588722239782
"Nott'm Forest,Liverpool,Bournemouth,Nott'm Forest","(Nott'm Forest,Liverpool);(Liverpool,Bournemouth);(Bournemouth,Nott'm Forest)",-12.772588722239782
"Man United,Liverpool,Fulham,Man United","(Man United,Liverpool);(Liverpool,Fulham);(Fulham,Man United)",12.772588722239782
"West Ham,Liverpool,Fulham,West Ham","(West Ham,Liverpool);(Liverpool,Fulham);(Fulham,West Ham)",12.772588722239782
"Brighton,Liverpool,Brentford,Brighton","(Brighton,Liverpool);(Liverpool,Brentford);(Brentford,Brighton)",-11.386294361119893
"Nott'm Forest,Liverpool,Man City,Nott'm Forest","(Nott'm Forest,Liverpool);(Liverpool,Man City);(Man City,Nott'm Forest)",-11.38629436111989
"Nott'm Forest,Liverpool,Brentford,Nott'm Forest","(Nott'm Forest,Liverpool);(Liverpool,Brentford);(Brentford,Nott'm Forest)",-11.38629436111989
"Crystal Palace,Liverpool,Brighton,Crystal Palace","(Crystal Palace,Liverpool);(Liverpool,Brighton);(Brighton,Crystal Palace)",11.38629436111989
"Ipswich,Liverpool,Fulham,Ipswich","(Ipswich,Liverpool);(Liverpool,Fulham);(Fulham,Ipswich)",11.38629436111989
"Wolves,Liverpool,Fulham,Wolves","(Wolves,Liverpool);(Liverpool,Fulham);(Fulham,Wolves)",11.38629436111989
"Ipswich,Liverpool,Chelsea,Ipswich","(Ipswich,Liverpool);(Liverpool,Chelsea);(Chelsea,Ipswich)",11.38629436111989
"Man City,Liverpool,Everton,Man City","(Man City,Liverpool);(Liverpool,Everton);(Everton,Man City)",10.000000000000002
"Man United,Liverpool,Bournemouth,Man United","(Man United,Liverpool);(Liverpool,Bournemouth);(Bournemouth,Man United)",-10.0
