Node,total_upsets,total_games,rate
Acasuso J.,2,2,1.000000
Aguilar J.,0,2,0.000000
Alcaide G.,0,1,0.000000
Almagro N.,20,61,0.327869
Alves T.,3,6,0.500000
Amritraj P.,1,1,1.000000
Anderson K.,8,30,0.266667
Andreev I.,13,35,0.371429
Andujar P.,6,15,0.400000
Aranguren J.M.,1,1,1.000000
Ascione T.,2,3,0.666667
Bachinger M.,1,3,0.333333
Baghdatis M.,26,66,0.393939
Baker J.,1,3,0.333333
Ball C.,2,9,0.222222
Balleret B.,0,1,0.000000
Bautista R.,0,1,0.000000
Beck A.,7,20,0.350000
Beck K.,3,12,0.250000
Becker B.,20,52,0.384615
Bellucci T.,13,55,0.236364
Bemelmans R.,2,5,0.400000
Benneteau J.,16,40,0.400000
Berankis R.,0,7,0.000000
Berdych T.,23,62,0.370968
Berlocq C.,3,6,0.500000
Berrer M.,18,45,0.400000
Blake J.,9,29,0.310345
Bogomolov A.,1,1,1.000000
Bohli S.,2,3,0.666667
Bolelli S.,3,14,0.214286
Bozoljac I.,1,3,0.333333
Brands D.,6,24,0.250000
Brown D.,5,14,0.357143
Capdeville P.,0,1,0.000000
Cervantes I.,0,1,0.000000
Chardy J.,21,49,0.428571
Chela J.I.,14,48,0.291667
Chiudinelli M.,11,37,0.297297
Cilic M.,18,59,0.305085
Cipolla F.,0,1,0.000000
Clement A.,14,38,0.368421
Copil M.,1,1,1.000000
Crivoi V.,2,7,0.285714
Cuevas P.,13,40,0.325000
Dabul B.,3,8,0.375000
Daniel M.,2,12,0.166667
Darcis S.,3,7,0.428571
Dasnieres de Veigy J.,1,1,1.000000
Davydenko N.,21,45,0.466667
De Bakker T.,12,43,0.279070
De Voest R.,1,3,0.333333
Deheart R.,0,2,0.000000
Del Bonis F.,0,1,0.000000
Del Potro J.M.,2,6,0.333333
Delgado R.,1,3,0.333333
Dent T.,8,29,0.275862
Devvarman S.,5,17,0.294118
Di Mauro A.,0,1,0.000000
Djokovic N.,12,69,0.173913
Dodig I.,4,12,0.333333
Dolgopolov O.,11,40,0.275000
Donskoy E.,0,2,0.000000
Ebden M.,1,3,0.333333
El Amrani R.,0,3,0.000000
Evans B.,1,1,1.000000
Evans D.,0,1,0.000000
Falla A.,12,32,0.375000
Federer R.,13,76,0.171053
Ferrer D.,17,76,0.223684
Ferrero J.C.,13,43,0.302326
Fischer M.,2,4,0.500000
Fish M.,14,47,0.297872
Fognini F.,12,37,0.324324
Gabashvili T.,9,24,0.375000
Galvani S.,0,1,0.000000
Garcia-Lopez G.,15,51,0.294118
Gasquet R.,12,56,0.214286
Gaudio G.,1,1,1.000000
Gicquel M.,5,15,0.333333
Gil F.,5,20,0.250000
Gimeno-Traver D.,13,37,0.351351
Ginepri R.,11,19,0.578947
Giraldo S.,10,37,0.270270
Golubev A.,14,37,0.378378
Gonzalez F.,6,21,0.285714
Gonzalez M.,2,12,0.166667
Gonzalez S.,1,1,1.000000
Granollers M.,14,40,0.350000
Greul S.,11,36,0.305556
Guccione C.,1,1,1.000000
Guez D.,2,4,0.500000
Gulbis E.,9,44,0.204545
Haas T.,2,6,0.333333
Haase R.,3,10,0.300000
Haider-Maurer A.,2,7,0.285714
Hajek J.,7,28,0.250000
Hanescu V.,16,44,0.363636
Harrison R.,2,8,0.250000
Hernandez O.,4,15,0.266667
Hernych J.,0,1,0.000000
Hewitt L.,7,25,0.280000
Hocevar R.,0,2,0.000000
Hrbaty D.,0,1,0.000000
Ilhan M.,2,11,0.181818
Im K.T.,1,1,1.000000
Isner J.,12,56,0.214286
Istomin D.,15,51,0.294118
Ito T.,0,1,0.000000
Janowicz J.,0,1,0.000000
Jouan R.,1,1,1.000000
Junqueira D.,1,2,0.500000
Kamke T.,3,15,0.200000
Karlovic I.,4,23,0.173913
Kavcic B.,4,9,0.444444
Kendrick R.,0,3,0.000000
Kiefer N.,3,4,0.750000
Kim K.,2,4,0.500000
Kindlmann D.,0,2,0.000000
Klizan M.,0,3,0.000000
Knittel B.,1,1,1.000000
Koellerer D.,4,11,0.363636
Kohlschreiber P.,13,52,0.250000
Kontinen H.,1,2,0.500000
Korolev E.,11,30,0.366667
Koubek S.,4,7,0.571429
Kravchuk K.,2,2,1.000000
Kubler J.,0,1,0.000000
Kubot L.,13,37,0.351351
Kudryavtsev A.,0,1,0.000000
Kukushkin M.,5,19,0.263158
Kunitsyn I.,6,19,0.315789
Kuznetsov A.,0,4,0.000000
Lacko L.,11,34,0.323529
Lammer M.,0,4,0.000000
Lapentti G.,2,2,1.000000
Lapentti N.,3,7,0.428571
Levine J.,1,6,0.166667
Levy H.,1,3,0.333333
Lindahl N.,0,6,0.000000
Ljubicic I.,18,42,0.428571
Llodra M.,17,44,0.386364
Lojda D.,0,1,0.000000
Lopez F.,9,45,0.200000
Lorenzi P.,2,16,0.125000
Lu Y.H.,5,30,0.166667
Luczak P.,10,30,0.333333
Maamoun K.,1,1,1.000000
Machado R.,2,5,0.400000
Mahut N.,1,9,0.111111
Malisse X.,17,42,0.404762
Mannarino A.,2,6,0.333333
Marchenko I.,11,31,0.354839
Marrero D.,2,3,0.666667
