Node,total_upsets,total_games,rate
Martin A.,3,9,0.333333
Massu N.,3,9,0.333333
Mathieu P.H.,15,27,0.555556
Matosevic M.,3,4,0.750000
Mayer F.,19,35,0.542857
Mayer L.,14,30,0.466667
Meffert D.,2,2,1.000000
Mello R.,5,16,0.312500
Melzer J.,23,69,0.333333
Mertens Y.,1,2,0.500000
Monaco J.,15,45,0.333333
Monfils G.,15,59,0.254237
Montanes A.,17,54,0.314815
Muller G.,1,4,0.250000
Murray A.,16,61,0.262295
Nadal R.,9,76,0.118421
Nalbandian D.,6,33,0.181818
Navarro-Pastor I.,5,9,0.555556
Nielsen F.,1,1,1.000000
Nieminen J.,16,49,0.326531
Niland C.,1,1,1.000000
Nishikori K.,2,8,0.250000
Odesnik W.,4,13,0.307692
Okun N.,1,2,0.500000
Ouanna J.,1,9,0.111111
Paire B.,2,5,0.400000
Patience O.,1,2,0.500000
Petzschner P.,12,39,0.307692
Peya A.,1,1,1.000000
Phau B.,7,19,0.368421
Polansky P.,5,5,1.000000
Przysiezny M.,3,12,0.250000
Querrey S.,17,51,0.333333
Ram R.,6,22,0.272727
Ramirez-Hidalgo R.,2,5,0.400000
Ramos-Vinolas A.,3,6,0.500000
Raonic M.,4,7,0.571429
Recouderc L.,2,6,0.333333
Reister J.,2,10,0.200000
Riba P.,6,19,0.315789
Riba-Madrid P.,1,1,1.000000
Robert S.,12,28,0.428571
Robredo T.,16,39,0.410256
Rochus C.,0,8,0.000000
Rochus O.,14,31,0.451613
Roddick A.,16,64,0.250000
Roger-Vasselin E.,2,8,0.250000
Rosol L.,1,2,0.500000
Rufin G.,5,7,0.714286
Russell M.,12,34,0.352941
Santoro F.,0,1,0.000000
Schoorel T.,1,1,1.000000
Schuettler R.,13,26,0.500000
Schukin Y.,2,6,0.333333
Schwank E.,7,29,0.241379
Sela D.,13,31,0.419355
Seppi A.,13,51,0.254902
Sergeyev I.,0,2,0.000000
Serra F.,14,46,0.304348
Sidorenko A.,1,3,0.333333
Sijsling I.,0,6,0.000000
Silva J.,0,1,0.000000
Simon G.,14,38,0.368421
Skugor F.,1,2,0.500000
Smyczek T.,0,3,0.000000
Soderling R.,19,73,0.260274
Soeda G.,0,5,0.000000
Sorensen L.,1,3,0.333333
Souza J.,2,5,0.400000
Stadler S.,1,1,1.000000
Stakhovsky S.,17,44,0.386364
Starace P.,15,46,0.326087
Stepanek R.,9,28,0.321429
Sweeting R.,4,12,0.333333
Tavares L.,0,2,0.000000
Tipsarevic J.,13,40,0.325000
Tomic B.,2,8,0.250000
Troicki V.,13,56,0.232143
Tsonga J.W.,10,42,0.238095
Tursunov D.,1,7,0.142857
Ungur A.,1,2,0.500000
Vagnozzi S.,2,3,0.666667
Van Der Merwe I.,1,2,0.500000
Vassallo-Arguello M.,2,3,0.666667
Veic A.,1,3,0.333333
Ventura S.,6,13,0.461538
Verdasco F.,22,63,0.349206
Vinciguerra A.,1,1,1.000000
Vliegen K.,1,5,0.200000
Volandri F.,3,8,0.375000
Ward J.,1,2,0.500000
Wawrinka S.,6,49,0.122449
Witten J.,0,2,0.000000
Yang T.H.,0,2,0.000000
Yani M.,1,2,0.500000
Young D.,2,9,0.222222
Youzhny M.,15,53,0.283019
Zeballos H.,14,35,0.400000
Zemlja G.,3,7,0.428571
Zverev M.,12,30,0.400000
