cycle_nodes,cycle_edges,vorticity
"Gulbis E.,Schuettler R.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Gulbis E.","(Gulbis E.,Schuettler R.);(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Gulbis E.)",-60.0
"Lacko L.,Serra F.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Lacko L.","(Lacko L.,Serra F.);(Serra F.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Lacko L.)",-60.0
"Davydenko N.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Chardy J.,Davydenko N.","(Davydenko N.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Chardy J.);(Chardy J.,Davydenko N.)",-60.0
"Gulbis E.,Schuettler R.,Gimeno-Traver D.,Beck A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Falla A.,Gulbis E.","(Gulbis E.,Schuettler R.);(Schuettler R.,Gimeno-Traver D.);(Gimeno-Traver D.,Beck A.);(Beck A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Falla A.);(Falla A.,Gulbis E.)",-60.0
"Zeballos H.,Fischer M.,Seppi A.,Robert S.,Lopez F.,Del Potro J.M.,Russell M.,Odesnik W.,Kukushkin M.,Marchenko I.,Zeballos H.","(Zeballos H.,Fischer M.);(Fischer M.,Seppi A.);(Seppi A.,Robert S.);(Robert S.,Lopez F.);(Lopez F.,Del Potro J.M.);(Del Potro J.M.,Russell M.);(Russell M.,Odesnik W.);(Odesnik W.,Kukushkin M.);(Kukushkin M.,Marchenko I.);(Marchenko I.,Zeballos H.)",-60.0
"Marchenko I.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Becker B.,Marchenko I.","(Marchenko I.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Becker B.);(Becker B.,Marchenko I.)",60.0
"Chardy J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Llodra M.,Witten J.,Baghdatis M.,Chardy J.","(Chardy J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Llodra M.);(Llodra M.,Witten J.);(Witten J.,Baghdatis M.);(Baghdatis M.,Chardy J.)",60.0
"Tipsarevic J.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Istomin D.,Tipsarevic J.","(Tipsarevic J.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Istomin D.);(Istomin D.,Tipsarevic J.)",60.0
"Mathieu P.H.,Berdych T.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Serra F.,Lacko L.,Mannarino A.,Mathieu P.H.","(Mathieu P.H.,Berdych T.);(Berdych T.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Serra F.);(Serra F.,Lacko L.);(Lacko L.,Mannarino A.);(Mannarino A.,Mathieu P.H.)",60.0
"Youzhny M.,Kukushkin M.,Odesnik W.,Russell M.,Del Potro J.M.,Lopez F.,Robert S.,Llodra M.,Witten J.,Baghdatis M.,Youzhny M.","(Youzhny M.,Kukushkin M.);(Kukushkin M.,Odesnik W.);(Odesnik W.,Russell M.);(Russell M.,Del Potro J.M.);(Del Potro J.M.,Lopez F.);(Lopez F.,Robert S.);(Robert S.,Llodra M.);(Llodra M.,Witten J.);(Witten J.,Baghdatis M.);(Baghdatis M.,Youzhny M.)",60.0
