Node,total_upsets,total_games,rate
Arsenal,9,38,0.236842
Aston Villa,11,38,0.289474
Brentford,10,38,0.263158
Brighton,10,38,0.263158
Burnley,9,38,0.236842
Chelsea,4,38,0.105263
Crystal Palace,8,38,0.210526
Everton,12,38,0.315789
Leeds,7,38,0.184211
Leicester,6,38,0.157895
Liverpool,2,38,0.052632
Man City,3,38,0.078947
Man United,10,38,0.263158
Newcastle,8,38,0.210526
Norwich,5,38,0.131579
Southampton,9,38,0.236842
Tottenham,11,38,0.289474
Watford,6,38,0.157895
West Ham,9,38,0.236842
Wolves,9,38,0.236842
