Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Man City,1,-6.500000,-2.624424,0.078947
Liverpool,2,-6.138629,-3.572323,0.052632
Chelsea,3,-3.569315,-0.437820,0.105263
Tottenham,4,-2.569315,2.262565,0.289474
Arsenal,5,-2.430685,-0.241629,0.236842
Man United,6,-1.361371,1.833516,0.263158
West Ham,7,-0.500000,1.510483,0.236842
Brighton,8,-0.069315,1.753018,0.263158
Leicester,9,0.000000,0.346424,0.157895
Crystal Palace,10,0.069315,1.085984,0.210526
Wolves,11,0.138629,0.602853,0.236842
Brentford,12,0.707944,2.018908,0.263158
Newcastle,13,1.222741,-0.261138,0.210526
Southampton,14,1.569315,1.110032,0.236842
Burnley,15,1.777259,0.399939,0.236842
Leeds,16,2.069315,-1.378403,0.184211
Aston Villa,17,2.222741,1.733960,0.289474
Everton,18,2.861371,1.453578,0.315789
Norwich,19,5.069315,-2.071519,0.131579
Watford,20,5.430685,-1.824641,0.157895
