Analysis for k=3 (removing 3 nodes)
Total combinations analyzed: 1140
Original intransitivity percentage: 78.42%, (intransitivity: 95.503422, total: 121.781372)
======================================================================

Results (sorted by intransitivity percentage):
------------------------------------------------------------------------------------------------------------------------
Removed Nodes                                        Percentage     Intransitivity              Total
------------------------------------------------------------------------------------------------------------------------
{Aston Villa, Crystal Palace, Man United}                73.17%          76.588547         104.666532
{West Ham, Everton, Man United}                          73.17%          77.999916         106.595316
{Brighton, Tottenham, Man United}                        73.19%          75.962204         103.792690
{Chelsea, Brentford, Fulham}                             73.19%          75.256153         102.818216
{Everton, Tottenham, Man United}                         73.20%          75.263248         102.824718
{Crystal Palace, Tottenham, Man United}                  73.22%          74.543718         101.806106
{Wolves, Fulham, Brighton}                               73.22%          76.645385         104.675712
{Aston Villa, Fulham, Man City}                          73.28%          78.068576         106.529646
{Nott'm Forest, Brighton, Man United}                    73.30%          77.430006         105.633052
{Newcastle, Fulham, Man United}                          73.34%          75.353568         102.751962
{Crystal Palace, Everton, Brighton}                      73.35%          82.769508         112.844033
{Bournemouth, Crystal Palace, West Ham}                  73.36%          78.178977         106.575521
{Fulham, Ipswich, Man United}                            73.40%          74.039754         100.870433
{Bournemouth, Crystal Palace, Nott'm Forest}             73.40%          77.539150         105.637600
{Fulham, West Ham, Man City}                             73.40%          77.552842         105.651244
{Bournemouth, Fulham, Ipswich}                           73.44%          75.521999         102.834062
{Aston Villa, Fulham, West Ham}                          73.47%          78.319498         106.598059
{Crystal Palace, Ipswich, Man United}                    73.52%          75.559405         102.774323
{Fulham, Everton, Leicester}                             73.52%          76.313086         103.797319
{Newcastle, Crystal Palace, Man United}                  73.56%          75.544550         102.701531
{Newcastle, Bournemouth, Man United}                     73.58%          74.934268         101.840982
{Newcastle, Bournemouth, Fulham}                         73.58%          76.354944         103.770549
{Chelsea, Fulham, Tottenham}                             73.59%          74.981309         101.891838
{Brentford, Nott'm Forest, Man United}                   73.62%          73.495133          99.827071
{Bournemouth, Crystal Palace, Tottenham}                 73.63%          76.410719         103.776991
{Fulham, Brighton, Ipswich}                              73.64%          77.106651         104.711428
{West Ham, Brighton, Man United}                         73.65%          78.526250         106.615107
{Newcastle, Fulham, Brighton}                            73.65%          77.798727         105.626724
{Everton, Brighton, Tottenham}                           73.66%          79.204199         107.524883
{Chelsea, Aston Villa, Fulham}                           73.68%          78.533037         106.589045
{Brentford, Fulham, Arsenal}                             73.69%          75.734122         102.767818
{Aston Villa, Brentford, Man United}                     73.70%          75.034109         101.815544
{Bournemouth, Brighton, Tottenham}                       73.70%          77.918050         105.726549
