cycle_nodes,cycle_edges,vorticity
"Wolves,Fulham,Liverpool,Wolves","(Wolves,Fulham);(Fulham,Liverpool);(Liverpool,Wolves)",-21.38629436111989
"Leeds,Fulham,Brighton,Leeds","(Leeds,Fulham);(Fulham,Brighton);(Brighton,Leeds)",-20.0
"Wolves,Fulham,Everton,Wolves","(Wolves,Fulham);(Fulham,Everton);(Everton,Wolves)",-20.0
"West Ham,Fulham,Leeds,West Ham","(West Ham,Fulham);(Fulham,Leeds);(Leeds,West Ham)",18.613705638880113
"Wolves,Fulham,Burnley,Wolves","(Wolves,Fulham);(Fulham,Burnley);(Burnley,Wolves)",-18.61370563888011
"Wolves,Fulham,West Ham,Wolves","(Wolves,Fulham);(Fulham,West Ham);(West Ham,Wolves)",-18.61370563888011
"Wolves,Fulham,Man United,Wolves","(Wolves,Fulham);(Fulham,Man United);(Man United,Wolves)",-18.61370563888011
"West Ham,Fulham,Aston Villa,West Ham","(West Ham,Fulham);(Fulham,Aston Villa);(Aston Villa,West Ham)",18.61370563888011
"Man United,Fulham,Aston Villa,Man United","(Man United,Fulham);(Fulham,Aston Villa);(Aston Villa,Man United)",18.61370563888011
"Chelsea,Fulham,Arsenal,Chelsea","(Chelsea,Fulham);(Fulham,Arsenal);(Arsenal,Chelsea)",-18.613705638880106
"West Ham,Fulham,Liverpool,West Ham","(West Ham,Fulham);(Fulham,Liverpool);(Liverpool,West Ham)",-12.772588722239782
"Wolves,Fulham,West Brom,Wolves","(Wolves,Fulham);(Fulham,West Brom);(West Brom,Wolves)",-12.772588722239782
"Tottenham,Fulham,Liverpool,Tottenham","(Tottenham,Fulham);(Fulham,Liverpool);(Liverpool,Tottenham)",-12.772588722239782
"Liverpool,Fulham,Crystal Palace,Liverpool","(Liverpool,Fulham);(Fulham,Crystal Palace);(Crystal Palace,Liverpool)",12.772588722239782
"Liverpool,Fulham,Arsenal,Liverpool","(Liverpool,Fulham);(Fulham,Arsenal);(Arsenal,Liverpool)",12.772588722239782
"West Brom,Fulham,Chelsea,West Brom","(West Brom,Fulham);(Fulham,Chelsea);(Chelsea,West Brom)",12.772588722239782
"Liverpool,Fulham,Leeds,Liverpool","(Liverpool,Fulham);(Fulham,Leeds);(Leeds,Liverpool)",12.772588722239782
"Wolves,Fulham,Leicester,Wolves","(Wolves,Fulham);(Fulham,Leicester);(Leicester,Wolves)",-11.38629436111989
"Newcastle,Fulham,Brighton,Newcastle","(Newcastle,Fulham);(Fulham,Brighton);(Brighton,Newcastle)",-11.38629436111989
"Liverpool,Fulham,Aston Villa,Liverpool","(Liverpool,Fulham);(Fulham,Aston Villa);(Aston Villa,Liverpool)",11.38629436111989
"Everton,Fulham,Arsenal,Everton","(Everton,Fulham);(Fulham,Arsenal);(Arsenal,Everton)",11.38629436111989
"Sheffield United,Fulham,Aston Villa,Sheffield United","(Sheffield United,Fulham);(Fulham,Aston Villa);(Aston Villa,Sheffield United)",11.38629436111989
"Brighton,Fulham,Aston Villa,Brighton","(Brighton,Fulham);(Fulham,Aston Villa);(Aston Villa,Brighton)",11.38629436111989
"Liverpool,Fulham,Chelsea,Liverpool","(Liverpool,Fulham);(Fulham,Chelsea);(Chelsea,Liverpool)",11.38629436111989
"Crystal Palace,Fulham,Burnley,Crystal Palace","(Crystal Palace,Fulham);(Fulham,Burnley);(Burnley,Crystal Palace)",-10.0
"Leeds,Fulham,Arsenal,Leeds","(Leeds,Fulham);(Fulham,Arsenal);(Arsenal,Leeds)",-10.0
"West Ham,Fulham,Newcastle,West Ham","(West Ham,Fulham);(Fulham,Newcastle);(Newcastle,West Ham)",-10.0
"West Ham,Fulham,Man United,West Ham","(West Ham,Fulham);(Fulham,Man United);(Man United,West Ham)",-10.0
"Newcastle,Fulham,Man United,Newcastle","(Newcastle,Fulham);(Fulham,Man United);(Man United,Newcastle)",-10.0
"Wolves,Fulham,Tottenham,Wolves","(Wolves,Fulham);(Fulham,Tottenham);(Tottenham,Wolves)",-10.0
"Newcastle,Fulham,Arsenal,Newcastle","(Newcastle,Fulham);(Fulham,Arsenal);(Arsenal,Newcastle)",-10.0
"Wolves,Fulham,Man City,Wolves","(Wolves,Fulham);(Fulham,Man City);(Man City,Wolves)",-10.0
"Southampton,Fulham,Man United,Southampton","(Southampton,Fulham);(Fulham,Man United);(Man United,Southampton)",-10.0
"Sheffield United,Fulham,Liverpool,Sheffield United","(Sheffield United,Fulham);(Fulham,Liverpool);(Liverpool,Sheffield United)",-10.0
"Man City,Fulham,Brighton,Man City","(Man City,Fulham);(Fulham,Brighton);(Brighton,Man City)",-10.0
"Leeds,Fulham,Everton,Leeds","(Leeds,Fulham);(Fulham,Everton);(Everton,Leeds)",-10.0
"Man City,Fulham,Leicester,Man City","(Man City,Fulham);(Fulham,Leicester);(Leicester,Man City)",-10.0
"West Brom,Fulham,Aston Villa,West Brom","(West Brom,Fulham);(Fulham,Aston Villa);(Aston Villa,West Brom)",10.0
"Man City,Fulham,Aston Villa,Man City","(Man City,Fulham);(Fulham,Aston Villa);(Aston Villa,Man City)",10.0
"Burnley,Fulham,Aston Villa,Burnley","(Burnley,Fulham);(Fulham,Aston Villa);(Aston Villa,Burnley)",10.0
"Everton,Fulham,Chelsea,Everton","(Everton,Fulham);(Fulham,Chelsea);(Chelsea,Everton)",10.0
"Southampton,Fulham,Burnley,Southampton","(Southampton,Fulham);(Fulham,Burnley);(Burnley,Southampton)",10.0
"Leicester,Fulham,Chelsea,Leicester","(Leicester,Fulham);(Fulham,Chelsea);(Chelsea,Leicester)",10.0
"Leicester,Fulham,Brighton,Leicester","(Leicester,Fulham);(Fulham,Brighton);(Brighton,Leicester)",10.0
"Tottenham,Fulham,Southampton,Tottenham","(Tottenham,Fulham);(Fulham,Southampton);(Southampton,Tottenham)",10.0
"Tottenham,Fulham,Burnley,Tottenham","(Tottenham,Fulham);(Fulham,Burnley);(Burnley,Tottenham)",10.0
"Leicester,Fulham,Leeds,Leicester","(Leicester,Fulham);(Fulham,Leeds);(Leeds,Leicester)",10.0
"Wolves,Fulham,Leeds,Wolves","(Wolves,Fulham);(Fulham,Leeds);(Leeds,Wolves)",10.0
"Man United,Fulham,Burnley,Man United","(Man United,Fulham);(Fulham,Burnley);(Burnley,Man United)",10.0
"Leicester,Fulham,Aston Villa,Leicester","(Leicester,Fulham);(Fulham,Aston Villa);(Aston Villa,Leicester)",10.0
"Man United,Fulham,Man City,Man United","(Man United,Fulham);(Fulham,Man City);(Man City,Man United)",10.0
"Man United,Fulham,Leeds,Man United","(Man United,Fulham);(Fulham,Leeds);(Leeds,Man United)",10.0
"West Brom,Fulham,Man City,West Brom","(West Brom,Fulham);(Fulham,Man City);(Man City,West Brom)",10.0
"West Ham,Fulham,Burnley,West Ham","(West Ham,Fulham);(Fulham,Burnley);(Burnley,West Ham)",10.0
"Newcastle,Fulham,Burnley,Newcastle","(Newcastle,Fulham);(Fulham,Burnley);(Burnley,Newcastle)",10.0
"Man City,Fulham,Liverpool,Man City","(Man City,Fulham);(Fulham,Liverpool);(Liverpool,Man City)",-9.999999999999998
