Node,total_upsets,total_games,rate
Arsenal,12,38,0.315789
Aston Villa,13,38,0.342105
Brighton,11,38,0.289474
Burnley,9,38,0.236842
Chelsea,9,38,0.236842
Crystal Palace,9,38,0.236842
Everton,13,38,0.342105
Fulham,3,38,0.078947
Leeds,11,38,0.289474
Leicester,11,38,0.289474
Liverpool,9,38,0.236842
Man City,6,38,0.157895
Man United,7,38,0.184211
Newcastle,8,38,0.210526
Sheffield United,7,38,0.184211
Southampton,7,38,0.184211
Tottenham,8,38,0.210526
West Brom,5,38,0.131579
West Ham,4,38,0.105263
Wolves,10,38,0.263158
