cycle_nodes,cycle_edges,vorticity
"Union Berlin,Holstein Kiel,Augsburg,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Union Berlin)",-10.0
"Hoffenheim,Holstein Kiel,Bayern Munich,Hoffenheim","(Hoffenheim,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Hoffenheim)",-10.0
"Werder Bremen,Holstein Kiel,Freiburg,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Werder Bremen)",-10.0
"Freiburg,Holstein Kiel,Ein Frankfurt,Freiburg","(Freiburg,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Freiburg)",-10.0
"St Pauli,Holstein Kiel,Bayern Munich,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,St Pauli)",-10.0
"Werder Bremen,Holstein Kiel,Bayern Munich,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Werder Bremen)",-10.0
"Bayern Munich,Holstein Kiel,Augsburg,Bayern Munich","(Bayern Munich,Holstein Kiel);(Holstein Kiel,Augsburg);(Augsburg,Bayern Munich)",-10.0
"Union Berlin,Holstein Kiel,Heidenheim,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,Union Berlin)",-10.0
"Freiburg,Holstein Kiel,Bayern Munich,Freiburg","(Freiburg,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Freiburg)",-10.0
"Stuttgart,Holstein Kiel,RB Leipzig,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,RB Leipzig);(RB Leipzig,Stuttgart)",10.0
"Leverkusen,Holstein Kiel,Freiburg,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Leverkusen)",10.0
"Mainz,Holstein Kiel,Ein Frankfurt,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Mainz)",10.0
"M'gladbach,Holstein Kiel,Bochum,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,M'gladbach)",10.0
"St Pauli,Holstein Kiel,Hoffenheim,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,St Pauli)",10.0
"RB Leipzig,Holstein Kiel,Freiburg,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,RB Leipzig)",10.0
"Dortmund,Holstein Kiel,Bayern Munich,Dortmund","(Dortmund,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Dortmund)",10.0
"M'gladbach,Holstein Kiel,Heidenheim,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,M'gladbach)",10.0
"St Pauli,Holstein Kiel,Leverkusen,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,St Pauli)",-9.999999999999998
"St Pauli,Holstein Kiel,RB Leipzig,St Pauli","(St Pauli,Holstein Kiel);(Holstein Kiel,RB Leipzig);(RB Leipzig,St Pauli)",-9.999999999999998
"Werder Bremen,Holstein Kiel,RB Leipzig,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,RB Leipzig);(RB Leipzig,Werder Bremen)",-9.999999999999998
"Union Berlin,Holstein Kiel,St Pauli,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,St Pauli);(St Pauli,Union Berlin)",9.999999999999998
"Bochum,Holstein Kiel,Bayern Munich,Bochum","(Bochum,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Bochum)",9.999999999999998
"Wolfsburg,Holstein Kiel,Hoffenheim,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,Wolfsburg)",9.999999999999998
"Werder Bremen,Holstein Kiel,Heidenheim,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,Werder Bremen)",-8.61370563888011
"Werder Bremen,Holstein Kiel,Union Berlin,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Union Berlin);(Union Berlin,Werder Bremen)",-8.61370563888011
"M'gladbach,Holstein Kiel,Leverkusen,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,M'gladbach)",-8.61370563888011
"Leverkusen,Holstein Kiel,Heidenheim,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Heidenheim);(Heidenheim,Leverkusen)",8.61370563888011
"Stuttgart,Holstein Kiel,St Pauli,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,St Pauli);(St Pauli,Stuttgart)",8.61370563888011
"Union Berlin,Holstein Kiel,Bayern Munich,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Union Berlin)",8.61370563888011
"Stuttgart,Holstein Kiel,Freiburg,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Stuttgart)",8.61370563888011
"Leverkusen,Holstein Kiel,Bayern Munich,Leverkusen","(Leverkusen,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Leverkusen)",8.61370563888011
"Stuttgart,Holstein Kiel,Hoffenheim,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,Stuttgart)",8.61370563888011
"Mainz,Holstein Kiel,Hoffenheim,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,Mainz)",8.61370563888011
"RB Leipzig,Holstein Kiel,Ein Frankfurt,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,RB Leipzig)",8.61370563888011
"Mainz,Holstein Kiel,Freiburg,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Freiburg);(Freiburg,Mainz)",8.61370563888011
"Wolfsburg,Holstein Kiel,M'gladbach,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,M'gladbach);(M'gladbach,Wolfsburg)",8.61370563888011
"Mainz,Holstein Kiel,Bayern Munich,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,Mainz)",8.61370563888011
"M'gladbach,Holstein Kiel,Ein Frankfurt,M'gladbach","(M'gladbach,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,M'gladbach)",8.61370563888011
"RB Leipzig,Holstein Kiel,Hoffenheim,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Hoffenheim);(Hoffenheim,RB Leipzig)",8.61370563888011
"Stuttgart,Holstein Kiel,Bochum,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Stuttgart)",8.61370563888011
"Stuttgart,Holstein Kiel,Dortmund,Stuttgart","(Stuttgart,Holstein Kiel);(Holstein Kiel,Dortmund);(Dortmund,Stuttgart)",8.61370563888011
"Wolfsburg,Holstein Kiel,Werder Bremen,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Werder Bremen);(Werder Bremen,Wolfsburg)",8.61370563888011
"Mainz,Holstein Kiel,Bochum,Mainz","(Mainz,Holstein Kiel);(Holstein Kiel,Bochum);(Bochum,Mainz)",8.61370563888011
"Wolfsburg,Holstein Kiel,St Pauli,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,St Pauli);(St Pauli,Wolfsburg)",8.613705638880107
"Werder Bremen,Holstein Kiel,Stuttgart,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Stuttgart);(Stuttgart,Werder Bremen)",-7.227411277760218
"Werder Bremen,Holstein Kiel,Leverkusen,Werder Bremen","(Werder Bremen,Holstein Kiel);(Holstein Kiel,Leverkusen);(Leverkusen,Werder Bremen)",-7.227411277760218
"Wolfsburg,Holstein Kiel,Ein Frankfurt,Wolfsburg","(Wolfsburg,Holstein Kiel);(Holstein Kiel,Ein Frankfurt);(Ein Frankfurt,Wolfsburg)",7.227411277760218
"RB Leipzig,Holstein Kiel,Bayern Munich,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,Bayern Munich);(Bayern Munich,RB Leipzig)",7.2274112777602175
"RB Leipzig,Holstein Kiel,M'gladbach,RB Leipzig","(RB Leipzig,Holstein Kiel);(Holstein Kiel,M'gladbach);(M'gladbach,RB Leipzig)",-2.7725887222397816
"Union Berlin,Holstein Kiel,Mainz,Union Berlin","(Union Berlin,Holstein Kiel);(Holstein Kiel,Mainz);(Mainz,Union Berlin)",2.7725887222397816
