Node,2425
Paris SG,1
Marseille,2
Monaco,3
Nice,4
Lille,5
Lyon,6
Strasbourg,7
Lens,8
Brest,9
Toulouse,10
Auxerre,11
Rennes,12
Nantes,13
Angers,14
Le Havre,15
Reims,16
St Etienne,17
Montpellier,18
