Node,2425
Barcelona,1
Real Madrid,2
Ath Madrid,3
Ath Bilbao,4
Villarreal,5
Betis,6
Celta,7
Vallecano,8
Osasuna,9
Mallorca,10
Sociedad,11
Valencia,12
Getafe,13
Espanol,14
Alaves,15
Girona,16
Sevilla,17
Leganes,18
Las Palmas,19
Valladolid,20
