Node,2425
Bayern Munich,1
Leverkusen,2
Ein Frankfurt,3
Dortmund,4
Freiburg,5
Mainz,6
RB Leipzig,7
Werder Bremen,8
Stuttgart,9
M'gladbach,10
Wolfsburg,11
Augsburg,12
Union Berlin,13
St Pauli,14
Hoffenheim,15
Heidenheim,16
Holstein Kiel,17
Bochum,18
