cycle_nodes,cycle_edges,vorticity
"Musetti L.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Fils A.,Musetti L.","(Musetti L.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Fils A.);(Fils A.,Musetti L.)",-20.0
"Khachanov K.,Ruud C.,Fritz T.,Djokovic N.,Alcaraz C.,Khachanov K.","(Khachanov K.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Khachanov K.)",-20.0
"Paul T.,Machac T.,Djokovic N.,Fritz T.,Ruud C.,Draper J.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Paul T.)",-20.0
"Shelton B.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Draper J.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Shelton B.)",-20.0
"Paul T.,Machac T.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Paul T.)",-20.0
"Lehecka J.,De Minaur A.,Djokovic N.,Dimitrov G.,Lehecka J.","(Lehecka J.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Dimitrov G.);(Dimitrov G.,Lehecka J.)",20.0
"Dimitrov G.,Djokovic N.,Fritz T.,Ruud C.,Cerundolo F.,Dimitrov G.","(Dimitrov G.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Cerundolo F.);(Cerundolo F.,Dimitrov G.)",20.0
"Tiafoe F.,De Minaur A.,Djokovic N.,Cobolli F.,Tiafoe F.","(Tiafoe F.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Cobolli F.);(Cobolli F.,Tiafoe F.)",20.0
"Shelton B.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Khachanov K.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Khachanov K.);(Khachanov K.,Shelton B.)",20.0
"Tiafoe F.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Humbert U.,Tiafoe F.","(Tiafoe F.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Humbert U.);(Humbert U.,Tiafoe F.)",20.0
"Paul T.,Machac T.,Djokovic N.,Fritz T.,Ruud C.,Khachanov K.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Khachanov K.);(Khachanov K.,Paul T.)",20.0
"Tiafoe F.,De Minaur A.,Djokovic N.,Korda S.,Tiafoe F.","(Tiafoe F.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Korda S.);(Korda S.,Tiafoe F.)",20.0
"Rublev A.,Hurkacz H.,De Minaur A.,Djokovic N.,Alcaraz C.,Rublev A.","(Rublev A.,Hurkacz H.);(Hurkacz H.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Rublev A.)",20.0
"Zverev A.,Djokovic N.,Machac T.,Paul T.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Machac T.);(Machac T.,Paul T.);(Paul T.,Zverev A.)",20.0
"Zverev A.,Djokovic N.,De Minaur A.,Shelton B.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Shelton B.);(Shelton B.,Zverev A.)",20.0
"Lehecka J.,De Minaur A.,Djokovic N.,Alcaraz C.,Lehecka J.","(Lehecka J.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Lehecka J.)",20.0
"Rublev A.,Hurkacz H.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Popyrin A.,Rublev A.","(Rublev A.,Hurkacz H.);(Hurkacz H.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Popyrin A.);(Popyrin A.,Rublev A.)",19.999999999999996
"Sinner J.,Djokovic N.,Alcaraz C.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Sinner J.)",-10.405465108108164
"Fils A.,Medvedev D.,Ruud C.,Fritz T.,Djokovic N.,Alcaraz C.,Fils A.","(Fils A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Fils A.)",10.000000000000004
"Tsitsipas S.,Fils A.,Medvedev D.,Ruud C.,Fritz T.,Djokovic N.,Musetti L.,Tsitsipas S.","(Tsitsipas S.,Fils A.);(Fils A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Musetti L.);(Musetti L.,Tsitsipas S.)",10.000000000000004
"Tiafoe F.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Fils A.,Tiafoe F.","(Tiafoe F.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Fils A.);(Fils A.,Tiafoe F.)",-10.0
"Sinner J.,Djokovic N.,Musetti L.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Musetti L.);(Musetti L.,Sinner J.)",-10.0
"Fritz T.,Ruud C.,Draper J.,Fritz T.","(Fritz T.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Fritz T.)",-10.0
"Paul T.,Machac T.,Djokovic N.,Alcaraz C.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Paul T.)",-10.0
"Cerundolo F.,Ruud C.,Fritz T.,Djokovic N.,De Minaur A.,Bublik A.,Cerundolo F.","(Cerundolo F.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Bublik A.);(Bublik A.,Cerundolo F.)",-10.0
"Shelton B.,De Minaur A.,Djokovic N.,Alcaraz C.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Shelton B.)",-10.0
"Rune H.,Ruud C.,Humbert U.,Rune H.","(Rune H.,Ruud C.);(Ruud C.,Humbert U.);(Humbert U.,Rune H.)",-10.0
"Musetti L.,Djokovic N.,Fritz T.,Musetti L.","(Musetti L.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Musetti L.)",-10.0
"Sinner J.,Djokovic N.,Cobolli F.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Cobolli F.);(Cobolli F.,Sinner J.)",-10.0
"Paul T.,Machac T.,Djokovic N.,Fritz T.,Ruud C.,Cerundolo F.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Cerundolo F.);(Cerundolo F.,Paul T.)",-10.0
"Machac T.,Djokovic N.,De Minaur A.,Machac T.","(Machac T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Machac T.)",-10.0
"Rune H.,Ruud C.,Medvedev D.,Rune H.","(Rune H.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Rune H.)",-10.0
"Ruud C.,Fritz T.,Djokovic N.,Alcaraz C.,Ruud C.","(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Ruud C.)",-10.0
"Machac T.,Djokovic N.,Fritz T.,Machac T.","(Machac T.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Machac T.)",-10.0
"Zverev A.,Djokovic N.,Fritz T.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Zverev A.)",-10.0
"Zverev A.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Fils A.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Fils A.);(Fils A.,Zverev A.)",-10.0
"Cerundolo F.,Ruud C.,Fritz T.,Djokovic N.,Alcaraz C.,Cerundolo F.","(Cerundolo F.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Cerundolo F.)",-10.0
"Dimitrov G.,Djokovic N.,De Minaur A.,Dimitrov G.","(Dimitrov G.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Dimitrov G.)",-10.0
"Mensik J.,Cobolli F.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Davidovich Fokina A.,Mensik J.","(Mensik J.,Cobolli F.);(Cobolli F.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Davidovich Fokina A.);(Davidovich Fokina A.,Mensik J.)",-10.0
"Sinner J.,Djokovic N.,De Minaur A.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Sinner J.)",-10.0
"Musetti L.,Djokovic N.,Fritz T.,Ruud C.,Draper J.,Musetti L.","(Musetti L.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Draper J.);(Draper J.,Musetti L.)",-10.0
"Paul T.,Machac T.,Djokovic N.,De Minaur A.,Bublik A.,Paul T.","(Paul T.,Machac T.);(Machac T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Bublik A.);(Bublik A.,Paul T.)",-10.0
"Fritz T.,Djokovic N.,De Minaur A.,Fritz T.","(Fritz T.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Fritz T.)",-10.0
"Musetti L.,Djokovic N.,Fritz T.,Ruud C.,Medvedev D.,Musetti L.","(Musetti L.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Medvedev D.);(Medvedev D.,Musetti L.)",10.0
"Musetti L.,Djokovic N.,De Minaur A.,Musetti L.","(Musetti L.,Djokovic N.);(Djokovic N.,De Minaur A.);(De Minaur A.,Musetti L.)",10.0
"Tiafoe F.,De Minaur A.,Shelton B.,Tiafoe F.","(Tiafoe F.,De Minaur A.);(De Minaur A.,Shelton B.);(Shelton B.,Tiafoe F.)",10.0
"Sinner J.,Djokovic N.,Fritz T.,Ruud C.,Rune H.,Sinner J.","(Sinner J.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Rune H.);(Rune H.,Sinner J.)",10.0
"Shelton B.,De Minaur A.,Djokovic N.,Fritz T.,Ruud C.,Cerundolo F.,Shelton B.","(Shelton B.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Cerundolo F.);(Cerundolo F.,Shelton B.)",10.0
"Popyrin A.,Medvedev D.,Ruud C.,Fritz T.,Djokovic N.,Machac T.,Paul T.,Popyrin A.","(Popyrin A.,Medvedev D.);(Medvedev D.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Machac T.);(Machac T.,Paul T.);(Paul T.,Popyrin A.)",10.0
"Zverev A.,Djokovic N.,Cobolli F.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Cobolli F.);(Cobolli F.,Zverev A.)",10.0
"Mensik J.,Cobolli F.,Djokovic N.,Fritz T.,Ruud C.,Cerundolo F.,Mensik J.","(Mensik J.,Cobolli F.);(Cobolli F.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Cerundolo F.);(Cerundolo F.,Mensik J.)",10.0
"Zverev A.,Djokovic N.,Sinner J.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Sinner J.);(Sinner J.,Zverev A.)",10.0
"Rublev A.,Hurkacz H.,De Minaur A.,Djokovic N.,Fritz T.,Rublev A.","(Rublev A.,Hurkacz H.);(Hurkacz H.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Rublev A.)",10.0
"Humbert U.,Ruud C.,Fritz T.,Humbert U.","(Humbert U.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Humbert U.)",10.0
"Rublev A.,Hurkacz H.,De Minaur A.,Djokovic N.,Cobolli F.,Rublev A.","(Rublev A.,Hurkacz H.);(Hurkacz H.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Cobolli F.);(Cobolli F.,Rublev A.)",10.0
"Zverev A.,Djokovic N.,Fritz T.,Ruud C.,Humbert U.,Zverev A.","(Zverev A.,Djokovic N.);(Djokovic N.,Fritz T.);(Fritz T.,Ruud C.);(Ruud C.,Humbert U.);(Humbert U.,Zverev A.)",10.0
"Draper J.,Ruud C.,Fritz T.,Djokovic N.,Alcaraz C.,Draper J.","(Draper J.,Ruud C.);(Ruud C.,Fritz T.);(Fritz T.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Draper J.)",10.0
"Hurkacz H.,De Minaur A.,Djokovic N.,Alcaraz C.,Hurkacz H.","(Hurkacz H.,De Minaur A.);(De Minaur A.,Djokovic N.);(Djokovic N.,Alcaraz C.);(Alcaraz C.,Hurkacz H.)",10.0
