Node,total_upsets,total_games,rate
Atalanta,7,38,0.184211
Bologna,8,38,0.210526
Cagliari,4,38,0.105263
Como,8,38,0.210526
Empoli,6,38,0.157895
Fiorentina,13,38,0.342105
Genoa,4,38,0.105263
Inter,5,38,0.131579
Juventus,4,38,0.105263
Lazio,9,38,0.236842
Lecce,7,38,0.184211
Milan,7,38,0.184211
Monza,3,38,0.078947
Napoli,4,38,0.105263
Parma,8,38,0.210526
Roma,7,38,0.184211
Torino,6,38,0.157895
Udinese,7,38,0.184211
Venezia,6,38,0.157895
Verona,11,38,0.289474
