cycle_nodes,cycle_edges,vorticity
"Valladolid,Barcelona,Mallorca,Valladolid","(Valladolid,Barcelona);(Barcelona,Mallorca);(Mallorca,Valladolid)",-10.0
"Getafe,Barcelona,Celta,Getafe","(Getafe,Barcelona);(Barcelona,Celta);(Celta,Getafe)",-10.0
"Vallecano,Barcelona,Ath Bilbao,Vallecano","(Vallecano,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Vallecano)",-10.0
"Osasuna,Barcelona,Alaves,Osasuna","(Osasuna,Barcelona);(Barcelona,Alaves);(Alaves,Osasuna)",-10.0
"Sociedad,Barcelona,Sevilla,Sociedad","(Sociedad,Barcelona);(Barcelona,Sevilla);(Sevilla,Sociedad)",-10.0
"Leganes,Barcelona,Betis,Leganes","(Leganes,Barcelona);(Barcelona,Betis);(Betis,Leganes)",-10.0
"Sociedad,Barcelona,Osasuna,Sociedad","(Sociedad,Barcelona);(Barcelona,Osasuna);(Osasuna,Sociedad)",-10.0
"Valencia,Barcelona,Ath Bilbao,Valencia","(Valencia,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Valencia)",-10.0
"Betis,Barcelona,Ath Bilbao,Betis","(Betis,Barcelona);(Barcelona,Ath Bilbao);(Ath Bilbao,Betis)",-10.0
"Villarreal,Barcelona,Alaves,Villarreal","(Villarreal,Barcelona);(Barcelona,Alaves);(Alaves,Villarreal)",-10.0
"Osasuna,Barcelona,Girona,Osasuna","(Osasuna,Barcelona);(Barcelona,Girona);(Girona,Osasuna)",-10.0
"Valladolid,Barcelona,Real Madrid,Valladolid","(Valladolid,Barcelona);(Barcelona,Real Madrid);(Real Madrid,Valladolid)",-10.0
"Vallecano,Barcelona,Valladolid,Vallecano","(Vallecano,Barcelona);(Barcelona,Valladolid);(Valladolid,Vallecano)",10.0
"Real Madrid,Barcelona,Betis,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Betis);(Betis,Real Madrid)",10.0
"Valladolid,Barcelona,Betis,Valladolid","(Valladolid,Barcelona);(Barcelona,Betis);(Betis,Valladolid)",10.0
"Sevilla,Barcelona,Getafe,Sevilla","(Sevilla,Barcelona);(Barcelona,Getafe);(Getafe,Sevilla)",10.0
"Valencia,Barcelona,Getafe,Valencia","(Valencia,Barcelona);(Barcelona,Getafe);(Getafe,Valencia)",10.0
"Espanol,Barcelona,Alaves,Espanol","(Espanol,Barcelona);(Barcelona,Alaves);(Alaves,Espanol)",10.0
"Espanol,Barcelona,Ath Madrid,Espanol","(Espanol,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Espanol)",10.0
"Leganes,Barcelona,Las Palmas,Leganes","(Leganes,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Leganes)",10.0
"Sevilla,Barcelona,Betis,Sevilla","(Sevilla,Barcelona);(Barcelona,Betis);(Betis,Sevilla)",10.0
"Real Madrid,Barcelona,Alaves,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Alaves);(Alaves,Real Madrid)",10.0
"Mallorca,Barcelona,Betis,Mallorca","(Mallorca,Barcelona);(Barcelona,Betis);(Betis,Mallorca)",10.0
"Real Madrid,Barcelona,Ath Madrid,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Real Madrid)",10.0
"Vallecano,Barcelona,Las Palmas,Vallecano","(Vallecano,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Vallecano)",10.0
"Vallecano,Barcelona,Getafe,Vallecano","(Vallecano,Barcelona);(Barcelona,Getafe);(Getafe,Vallecano)",10.0
"Sociedad,Barcelona,Leganes,Sociedad","(Sociedad,Barcelona);(Barcelona,Leganes);(Leganes,Sociedad)",10.0
"Vallecano,Barcelona,Alaves,Vallecano","(Vallecano,Barcelona);(Barcelona,Alaves);(Alaves,Vallecano)",10.0
"Valencia,Barcelona,Sociedad,Valencia","(Valencia,Barcelona);(Barcelona,Sociedad);(Sociedad,Valencia)",10.0
"Villarreal,Barcelona,Leganes,Villarreal","(Villarreal,Barcelona);(Barcelona,Leganes);(Leganes,Villarreal)",10.0
"Valencia,Barcelona,Osasuna,Valencia","(Valencia,Barcelona);(Barcelona,Osasuna);(Osasuna,Valencia)",10.0
"Villarreal,Barcelona,Las Palmas,Villarreal","(Villarreal,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Villarreal)",10.0
"Valencia,Barcelona,Las Palmas,Valencia","(Valencia,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Valencia)",10.0
"Vallecano,Barcelona,Betis,Vallecano","(Vallecano,Barcelona);(Barcelona,Betis);(Betis,Vallecano)",10.0
"Real Madrid,Barcelona,Girona,Real Madrid","(Real Madrid,Barcelona);(Barcelona,Girona);(Girona,Real Madrid)",10.0
"Leganes,Barcelona,Espanol,Leganes","(Leganes,Barcelona);(Barcelona,Espanol);(Espanol,Leganes)",-8.61370563888011
"Osasuna,Barcelona,Mallorca,Osasuna","(Osasuna,Barcelona);(Barcelona,Mallorca);(Mallorca,Osasuna)",-8.61370563888011
"Osasuna,Barcelona,Espanol,Osasuna","(Osasuna,Barcelona);(Barcelona,Espanol);(Espanol,Osasuna)",-8.61370563888011
"Villarreal,Barcelona,Girona,Villarreal","(Villarreal,Barcelona);(Barcelona,Girona);(Girona,Villarreal)",-8.61370563888011
"Ath Madrid,Barcelona,Alaves,Ath Madrid","(Ath Madrid,Barcelona);(Barcelona,Alaves);(Alaves,Ath Madrid)",-8.61370563888011
"Getafe,Barcelona,Betis,Getafe","(Getafe,Barcelona);(Barcelona,Betis);(Betis,Getafe)",-8.61370563888011
"Villarreal,Barcelona,Vallecano,Villarreal","(Villarreal,Barcelona);(Barcelona,Vallecano);(Vallecano,Villarreal)",-8.61370563888011
"Getafe,Barcelona,Espanol,Getafe","(Getafe,Barcelona);(Barcelona,Espanol);(Espanol,Getafe)",-8.61370563888011
"Girona,Barcelona,Betis,Girona","(Girona,Barcelona);(Barcelona,Betis);(Betis,Girona)",8.61370563888011
"Girona,Barcelona,Celta,Girona","(Girona,Barcelona);(Barcelona,Celta);(Celta,Girona)",8.61370563888011
"Sevilla,Barcelona,Celta,Sevilla","(Sevilla,Barcelona);(Barcelona,Celta);(Celta,Sevilla)",8.61370563888011
"Mallorca,Barcelona,Getafe,Mallorca","(Mallorca,Barcelona);(Barcelona,Getafe);(Getafe,Mallorca)",8.61370563888011
"Vallecano,Barcelona,Ath Madrid,Vallecano","(Vallecano,Barcelona);(Barcelona,Ath Madrid);(Ath Madrid,Vallecano)",8.61370563888011
"Valencia,Barcelona,Celta,Valencia","(Valencia,Barcelona);(Barcelona,Celta);(Celta,Valencia)",8.61370563888011
"Valladolid,Barcelona,Sociedad,Valladolid","(Valladolid,Barcelona);(Barcelona,Sociedad);(Sociedad,Valladolid)",8.61370563888011
"Sevilla,Barcelona,Osasuna,Sevilla","(Sevilla,Barcelona);(Barcelona,Osasuna);(Osasuna,Sevilla)",8.61370563888011
"Valladolid,Barcelona,Leganes,Valladolid","(Valladolid,Barcelona);(Barcelona,Leganes);(Leganes,Valladolid)",8.61370563888011
"Valladolid,Barcelona,Las Palmas,Valladolid","(Valladolid,Barcelona);(Barcelona,Las Palmas);(Las Palmas,Valladolid)",8.61370563888011
"Sevilla,Barcelona,Leganes,Sevilla","(Sevilla,Barcelona);(Barcelona,Leganes);(Leganes,Sevilla)",8.61370563888011
"Girona,Barcelona,Getafe,Girona","(Girona,Barcelona);(Barcelona,Getafe);(Getafe,Girona)",8.61370563888011
"Celta,Barcelona,Alaves,Celta","(Celta,Barcelona);(Barcelona,Alaves);(Alaves,Celta)",-7.227411277760218
"Celta,Barcelona,Betis,Celta","(Celta,Barcelona);(Barcelona,Betis);(Betis,Celta)",2.7725887222397816
"Las Palmas,Barcelona,Celta,Las Palmas","(Las Palmas,Barcelona);(Barcelona,Celta);(Celta,Las Palmas)",-2.7725887222397807
"Sociedad,Barcelona,Getafe,Sociedad","(Sociedad,Barcelona);(Barcelona,Getafe);(Getafe,Sociedad)",-2.7725887222397807
"Osasuna,Barcelona,Getafe,Osasuna","(Osasuna,Barcelona);(Barcelona,Getafe);(Getafe,Osasuna)",-2.7725887222397807
"Mallorca,Barcelona,Alaves,Mallorca","(Mallorca,Barcelona);(Barcelona,Alaves);(Alaves,Mallorca)",-1.3862943611198912
