Node,total_upsets,total_games,rate
Angers,7,34,0.205882
Auxerre,11,34,0.323529
Brest,6,34,0.176471
Le Havre,8,34,0.235294
Lens,7,34,0.205882
Lille,7,34,0.205882
Lyon,7,34,0.205882
Marseille,7,34,0.205882
Monaco,6,34,0.176471
Montpellier,4,34,0.117647
Nantes,9,34,0.264706
Nice,9,34,0.264706
Paris SG,2,34,0.058824
Reims,8,34,0.235294
Rennes,5,34,0.147059
St Etienne,6,34,0.176471
Strasbourg,9,34,0.264706
Toulouse,4,34,0.117647
