Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Sinner J.,1,-11.746347,-3.329317,0.096774
Alcaraz C.,2,-8.687604,-2.068373,0.205882
Djokovic N.,3,-7.419056,-1.977653,0.076923
Rune H.,4,-6.183789,0.933577,0.500000
Draper J.,5,-5.844364,1.437238,0.272727
Bublik A.,6,-5.505096,-0.360849,0.142857
Fils A.,7,-4.262514,0.218468,0.111111
Auger-Aliassime F.,8,-3.030017,2.168026,0.363636
Ruud C.,9,-2.806186,1.277959,0.416667
Shelton B.,10,-2.589162,2.550906,0.272727
Musetti L.,11,-2.069037,1.665210,0.409091
Medvedev D.,12,-1.696187,0.268815,0.333333
De Minaur A.,13,-0.451143,0.507002,0.291667
Zverev A.,14,-0.280367,1.917427,0.520000
Cerundolo F.,15,-0.250030,0.169294,0.363636
Hurkacz H.,16,0.457687,0.161433,0.333333
Rublev A.,17,0.511809,3.137454,0.333333
Tsitsipas S.,18,0.806786,0.556797,0.500000
Fritz T.,19,0.840234,0.705461,0.333333
Tiafoe F.,20,1.577005,0.160892,0.428571
Paul T.,21,1.606726,-0.882327,0.166667
Dimitrov G.,22,1.721245,0.451531,0.333333
Lehecka J.,23,2.288870,0.847565,0.500000
Cobolli F.,24,2.298629,0.131312,0.125000
Humbert U.,25,2.572628,0.640422,0.166667
Davidovich Fokina A.,26,4.686657,-0.119587,0.500000
Khachanov K.,27,4.846434,1.579345,0.153846
Korda S.,28,5.539637,-0.447787,0.200000
Mensik J.,29,6.036523,1.760490,0.750000
Machac T.,30,8.644190,-0.885788,0.500000
Popyrin A.,31,8.644496,-0.996920,0.250000
Shapovalov D.,32,9.741342,-0.508268,0.500000
