Node,total_upsets,total_games,rate
Alcaraz C.,7,34,0.205882
Auger-Aliassime F.,4,11,0.363636
Bublik A.,1,7,0.142857
Cerundolo F.,4,11,0.363636
Cobolli F.,1,8,0.125000
Davidovich Fokina A.,2,4,0.500000
De Minaur A.,7,24,0.291667
Dimitrov G.,2,6,0.333333
Djokovic N.,1,13,0.076923
Draper J.,3,11,0.272727
Fils A.,1,9,0.111111
Fritz T.,5,15,0.333333
Humbert U.,1,6,0.166667
Hurkacz H.,1,3,0.333333
Khachanov K.,2,13,0.153846
Korda S.,1,5,0.200000
Lehecka J.,4,8,0.500000
Machac T.,2,4,0.500000
Medvedev D.,5,15,0.333333
Mensik J.,3,4,0.750000
Musetti L.,9,22,0.409091
Paul T.,2,12,0.166667
Popyrin A.,1,4,0.250000
Rublev A.,4,12,0.333333
Rune H.,4,8,0.500000
Ruud C.,5,12,0.416667
Shapovalov D.,1,2,0.500000
Shelton B.,6,22,0.272727
Sinner J.,3,31,0.096774
Tiafoe F.,3,7,0.428571
Tsitsipas S.,4,8,0.500000
Zverev A.,13,25,0.520000
