Player,Intransitivity_Centrality
Federer R.,-0.479318
Nadal R.,-0.407792
Djokovic N.,-0.261524
Murray A.,-0.176722
Ram R.,-0.154634
Tsonga J.W.,-0.146058
Beck K.,-0.145673
Ferrer D.,-0.14305
Nalbandian D.,-0.142269
Hernandez O.,-0.137519
Soderling R.,-0.132418
Daniel M.,-0.120729
Lindahl N.,-0.120274
Hajek J.,-0.117886
Vliegen K.,-0.098164
Lorenzi P.,-0.095472
Fish M.,-0.093965
Rochus C.,-0.092077
Guez D.,-0.071087
Kunitsyn I.,-0.06642
Kendrick R.,-0.064274
Roger-Vasselin E.,-0.061617
Ramirez-Hidalgo R.,-0.061467
Bohli S.,-0.061069
Baker J.,-0.060858
