Player,Intransitivity_Centrality
Federer R.,-1.053967
Nadal R.,-0.740427
Hewitt L.,-0.378567
Agassi A.,-0.299393
Gaudio G.,-0.28788
Blake J.,-0.256451
Calatrava A.,-0.228407
Roddick A.,-0.198836
Gasquet R.,-0.188074
Vanek J.,-0.171489
Haehnel J.,-0.16963
Sargsian S.,-0.168038
Rusedski G.,-0.159776
Tipsarevic J.,-0.144845
Ventura S.,-0.129501
Wessels P.,-0.11592
Kim K.,-0.115885
Schuettler R.,-0.114554
Lee H.T.,-0.11178
Hernandez O.,-0.108129
Malisse X.,-0.105295
Carlsen K.,-0.101218
Kohlschreiber P.,-0.097703
Hanescu V.,-0.090883
Dupuis A.,-0.089437
