k,Removed_Nodes,Intransitivity,Transitivity,Total,Intransitivity_Percentage,Nodes_Remaining,Edges_Remaining
0,{},65.188507,58.903403,87.858707,74.196980,20,190
1,{Wolves},58.453788,59.099052,83.123663,70.321478,19,171
1,{Chelsea},60.289471,58.914169,84.295312,71.521737,19,171
1,{Aston Villa},60.401708,58.782748,84.283912,71.664576,19,171
1,{Crystal Palace},59.894356,57.621936,83.112102,72.064543,19,171
1,{West Ham},62.367851,58.429693,85.462143,72.977167,19,171
1,{Man United},60.812024,56.686531,83.135222,73.148327,19,171
1,{Everton},61.227405,57.069296,83.700058,73.150971,19,171
1,{Fulham},61.268648,57.041864,83.711537,73.190207,19,171
1,{Tottenham},60.972180,56.480215,83.112102,73.361374,19,171
1,{Newcastle},61.594181,56.690196,83.711537,73.579082,19,171
1,{Brighton},63.293903,57.425254,85.462143,74.060748,19,171
1,{Bournemouth},62.604996,56.447445,84.295312,74.268657,19,171
1,{Nott'm Forest},62.537364,55.699775,83.745967,74.675076,19,171
1,{Brentford},62.965795,56.010398,84.272511,74.716885,19,171
1,{Luton},61.868551,54.588496,82.508312,74.984628,19,171
1,{Liverpool},62.866719,54.363565,83.112102,75.640872,19,171
1,{Sheffield United},62.459530,53.893476,82.496665,75.711582,19,171
1,{Burnley},62.341356,53.096657,81.888337,76.129713,19,171
1,{Arsenal},61.553644,52.160255,80.681741,76.291914,19,171
1,{Man City},63.226341,50.157918,80.705557,78.341992,19,171
2,"{Aston Villa, Wolves}",52.933487,59.111222,79.347909,66.710627,18,153
2,"{Crystal Palace, Wolves}",53.626884,57.638267,78.727457,68.117130,18,153
2,"{Aston Villa, Chelsea}",54.927005,58.951430,80.574481,68.169232,18,153
2,"{Chelsea, Wolves}",54.543938,58.489738,79.975563,68.200756,18,153
2,"{Man United, Wolves}",53.958125,57.361806,78.751864,68.516633,18,153
2,"{Fulham, Wolves}",54.210484,57.089718,78.727457,68.858421,18,153
2,"{West Ham, Wolves}",56.032295,58.775426,81.204488,69.001476,18,153
2,"{Newcastle, Wolves}",54.412260,56.914323,78.739661,69.104006,18,153
2,"{Aston Villa, Crystal Palace}",54.842331,57.311131,79.323685,69.137397,18,153
2,"{Chelsea, Crystal Palace}",55.393142,57.669478,79.963547,69.272992,18,153
2,"{Everton, Wolves}",55.030785,57.163829,79.347909,69.353793,18,153
2,"{Chelsea, Fulham}",56.331774,57.627251,80.586406,69.902328,18,153
2,"{Brighton, Wolves}",56.407979,57.569354,80.598329,69.986537,18,153
2,"{Chelsea, Everton}",55.998417,57.065088,79.951529,70.040458,18,153
2,"{Aston Villa, West Ham}",57.316453,58.353658,81.794408,70.073804,18,153
2,"{Chelsea, West Ham}",57.330286,58.340068,81.794408,70.090716,18,153
2,"{Aston Villa, Fulham}",56.487786,57.457611,80.574481,70.106298,18,153
2,"{Aston Villa, Everton}",56.120779,56.944756,79.951529,70.193503,18,153
2,"{Bournemouth, Wolves}",55.701758,56.510218,79.347909,70.199403,18,153
2,"{Chelsea, Man United}",55.757253,56.472481,79.360018,70.258620,18,153
2,"{Aston Villa, Tottenham}",55.797835,56.381278,79.323685,70.341961,18,153
2,"{Crystal Palace, West Ham}",56.824725,57.141224,80.586406,70.514033,18,153
2,"{Brentford, Wolves}",55.959649,56.220678,79.323685,70.545952,18,153
2,"{Chelsea, Newcastle}",56.439769,56.645576,79.963547,70.581873,18,153
2,"{Nott'm Forest, Wolves}",55.637993,55.751157,78.764064,70.638804,18,153
2,"{Tottenham, Wolves}",55.628591,55.708817,78.727457,70.659708,18,153
2,"{Chelsea, Tottenham}",56.507038,56.578471,79.963547,70.665998,18,153
2,"{Luton, Wolves}",54.760813,54.783096,77.459242,70.696293,18,153
2,"{Crystal Palace, Fulham}",55.690715,55.629442,78.715250,70.749588,18,153
2,"{Crystal Palace, Everton}",55.711647,55.608480,78.715250,70.776180,18,153
2,"{Crystal Palace, Newcastle}",55.900863,55.418265,78.715250,71.016561,18,153
2,"{Aston Villa, Man United}",56.799152,56.302282,79.975563,71.020635,18,153
2,"{Crystal Palace, Tottenham}",55.947856,55.370823,78.715250,71.076260,18,153
2,"{Liverpool, Wolves}",56.015931,55.319326,78.727457,71.151710,18,153
2,"{Aston Villa, Newcastle}",57.399386,56.546950,80.574481,71.237673,18,153
2,"{Brighton, Chelsea}",58.734413,57.797872,82.403429,71.276660,18,153
2,"{Crystal Palace, Man United}",56.197979,55.151803,78.739661,71.371883,18,153
2,"{Bournemouth, Chelsea}",57.518619,56.442690,80.586406,71.375089,18,153
2,"{Man United, West Ham}",57.626034,56.350074,80.598329,71.497802,18,153
2,"{Sheffield United, Wolves}",55.374983,54.126721,77.434428,71.512096,18,153
2,"{Chelsea, Luton}",56.770234,55.419395,79.335798,71.556896,18,153
2,"{Arsenal, Wolves}",54.539761,53.154009,76.157299,71.614621,18,153
2,"{Aston Villa, Brighton}",58.569413,57.079131,81.782659,71.615931,18,153
2,"{Aston Villa, Bournemouth}",57.718266,56.221426,80.574481,71.633432,18,153
2,"{Brighton, Crystal Palace}",57.786484,56.168417,80.586406,71.707484,18,153
2,"{Everton, West Ham}",58.331643,56.460116,81.180818,71.853973,18,153
2,"{Everton, Tottenham}",56.572753,54.732205,78.715250,71.870130,18,153
2,"{Aston Villa, Luton}",57.033177,55.131331,79.323685,71.899304,18,153
2,"{Aston Villa, Brentford}",57.961660,55.936118,80.550626,71.956809,18,153
2,"{Fulham, Man United}",56.713407,54.621642,78.739661,72.026481,18,153
2,"{Brentford, Chelsea}",58.062800,55.848334,80.562554,72.071697,18,153
2,"{Burnley, Wolves}",55.363503,53.224947,76.798518,72.089285,18,153
2,"{Everton, Fulham}",57.239155,54.952432,79.347909,72.136942,18,153
2,"{Tottenham, West Ham}",58.151965,55.789943,80.586406,72.161011,18,153
2,"{Fulham, Tottenham}",56.810455,54.485437,78.715250,72.172107,18,153
2,"{Chelsea, Nott'm Forest}",57.740064,55.371646,79.999589,72.175451,18,153
2,"{Crystal Palace, Nott'm Forest}",56.890998,54.454296,78.751864,72.240828,18,153
2,"{Man United, Newcastle}",56.883790,54.444179,78.739661,72.242869,18,153
2,"{Aston Villa, Nott'm Forest}",57.787457,55.304812,79.987577,72.245540,18,153
2,"{Everton, Man United}",57.343890,54.860648,79.360018,72.257910,18,153
2,"{Newcastle, West Ham}",58.706265,56.104753,81.204488,72.294360,18,153
2,"{Man United, Tottenham}",56.481473,53.960164,78.114378,72.306116,18,153
2,"{Everton, Newcastle}",57.417276,54.766294,79.347909,72.361424,18,153
2,"{Fulham, Newcastle}",58.015642,55.047942,79.975563,72.541712,18,153
2,"{Fulham, West Ham}",59.358574,56.292154,81.806155,72.560034,18,153
2,"{Brentford, Crystal Palace}",57.581698,54.558180,79.323685,72.590801,18,153
2,"{Bournemouth, Crystal Palace}",58.057245,54.986590,79.963547,72.604640,18,153
2,"{Newcastle, Tottenham}",57.196150,54.080413,78.715250,72.662095,18,153
2,"{Brighton, West Ham}",60.367674,56.974284,83.007983,72.725143,18,153
2,"{Brighton, Everton}",59.097835,55.657623,81.180818,72.797783,18,153
2,"{Brighton, Man United}",58.774923,55.150694,80.598329,72.923253,18,153
2,"{Chelsea, Liverpool}",57.920162,54.234172,79.347909,72.995197,18,153
2,"{Bournemouth, West Ham}",59.725161,55.885869,81.794408,73.018635,18,153
2,"{Aston Villa, Liverpool}",57.931221,54.204634,79.335798,73.020280,18,153
2,"{Brighton, Fulham}",59.300098,55.476726,81.204488,73.025642,18,153
2,"{Crystal Palace, Luton}",56.561428,52.903849,77.446836,73.032587,18,153
2,"{Bournemouth, Everton}",58.401033,54.603721,79.951529,73.045549,18,153
2,"{Aston Villa, Burnley}",57.483440,53.721311,78.678620,73.061069,18,153
2,"{Brighton, Tottenham}",58.923671,54.956783,80.574481,73.129446,18,153
2,"{Aston Villa, Sheffield United}",57.580128,53.635584,78.690832,73.172601,18,153
2,"{Chelsea, Sheffield United}",57.640163,53.588995,78.703042,73.237529,18,153
2,"{Bournemouth, Fulham}",58.568865,54.441316,79.963547,73.244456,18,153
2,"{Bournemouth, Tottenham}",58.607027,54.400232,79.963547,73.292180,18,153
2,"{Luton, West Ham}",59.068392,54.801205,80.574481,73.309057,18,153
2,"{Crystal Palace, Sheffield United}",57.247276,53.074647,78.065157,73.332686,18,153
2,"{Bournemouth, Man United}",58.241102,53.925025,79.372125,73.377274,18,153
2,"{Brentford, West Ham}",60.022439,55.531868,81.770909,73.403169,18,153
2,"{Arsenal, Chelsea}",56.401026,52.124243,76.798518,73.440252,18,153
2,"{Luton, Tottenham}",57.365349,52.965153,78.077465,73.472350,18,153
2,"{Nott'm Forest, West Ham}",59.693295,55.088320,81.228150,73.488433,18,153
2,"{Luton, Man United}",57.421702,52.940366,78.102076,73.521352,18,153
2,"{Burnley, Crystal Palace}",56.954261,52.444074,77.422017,73.563391,18,153
2,"{Brighton, Newcastle}",59.740912,55.001747,81.204488,73.568486,18,153
2,"{Nott'm Forest, Tottenham}",58.412757,53.756915,79.384230,73.582318,18,153
2,"{Brentford, Fulham}",58.844058,54.125999,79.951529,73.599666,18,153
2,"{Crystal Palace, Liverpool}",57.474611,52.846568,78.077465,73.612291,18,153
2,"{Arsenal, Crystal Palace}",56.052527,51.537624,76.144681,73.613188,18,153
2,"{Burnley, Chelsea}",57.480332,52.822157,78.065157,73.631225,18,153
2,"{Brentford, Man United}",58.450106,53.662610,79.347909,73.663071,18,153
2,"{Bournemouth, Newcastle}",58.915552,54.083717,79.975563,73.666942,18,153
2,"{Man United, Nott'm Forest}",58.052903,53.249977,78.776263,73.693396,18,153
2,"{Fulham, Nott'm Forest}",58.553172,53.603937,79.384230,73.759199,18,153
2,"{Everton, Nott'm Forest}",59.023329,54.001674,79.999589,73.779541,18,153
2,"{Brentford, Everton}",59.580087,54.209008,80.550626,73.966014,18,153
2,"{Fulham, Luton}",58.223145,52.973163,78.715250,73.966792,18,153
2,"{Brentford, Tottenham}",58.684923,53.369718,79.323685,73.981590,18,153
2,"{Brentford, Newcastle}",59.618173,54.184856,80.562554,74.002337,18,153
2,"{Newcastle, Nott'm Forest}",58.763985,53.372747,79.384230,74.024759,18,153
2,"{Man United, Sheffield United}",57.818895,52.487977,78.089772,74.041573,18,153
2,"{Bournemouth, Brighton}",60.602448,54.933310,81.794408,74.091187,18,153
2,"{Everton, Luton}",57.904821,52.374825,78.077465,74.163295,18,153
2,"{Sheffield United, West Ham}",59.569024,53.327089,79.951529,74.506422,18,153
2,"{Fulham, Liverpool}",59.123160,52.920153,79.347909,74.511302,18,153
2,"{Liverpool, West Ham}",60.082983,53.704785,80.586406,74.557219,18,153
2,"{Bournemouth, Nott'm Forest}",59.718091,53.250405,80.011599,74.636792,18,153
2,"{Brentford, Brighton}",61.040224,54.428801,81.782659,74.637123,18,153
2,"{Newcastle, Sheffield United}",58.759856,52.358840,78.703042,74.660210,18,153
2,"{Sheffield United, Tottenham}",58.342637,51.868155,78.065157,74.735822,18,153
2,"{Fulham, Sheffield United}",58.355883,51.871779,78.077465,74.741006,18,153
2,"{Brighton, Nott'm Forest}",61.200620,54.336880,81.841386,74.779550,18,153
2,"{Everton, Liverpool}",58.881123,52.222430,78.703042,74.814291,18,153
2,"{Liverpool, Man United}",58.439755,51.814373,78.102076,74.824842,18,153
2,"{Brighton, Luton}",59.881151,52.976360,79.951529,74.896818,18,153
2,"{Bournemouth, Brentford}",60.353901,53.364143,80.562554,74.915576,18,153
