Node,total_upsets,total_games,rate
Arsenal,6,38,0.157895
Aston Villa,12,38,0.315789
Bournemouth,10,38,0.263158
Brentford,7,38,0.184211
Brighton,8,38,0.210526
Burnley,2,38,0.052632
Chelsea,11,38,0.289474
Crystal Palace,11,38,0.289474
Everton,10,38,0.263158
Fulham,12,38,0.315789
Liverpool,3,38,0.078947
Luton,6,38,0.157895
Man City,3,38,0.078947
Man United,11,38,0.289474
Newcastle,12,38,0.315789
Nott'm Forest,6,38,0.157895
Sheffield United,3,38,0.078947
Tottenham,10,38,0.263158
West Ham,10,38,0.263158
Wolves,11,38,0.289474
