Node,Rank,HHD_Rating,Intransitivity_Centrality,Upset_rate
Man City,1,-6.069315,-4.145012,0.078947
Arsenal,2,-5.207944,-2.094934,0.157895
Liverpool,3,-4.277259,-1.443892,0.078947
Tottenham,4,-2.000000,0.835606,0.263158
Chelsea,5,-1.930685,2.675243,0.289474
Aston Villa,6,-1.415888,2.532404,0.315789
Newcastle,7,-1.361371,0.617898,0.315789
Man United,8,-1.000000,1.048653,0.289474
West Ham,9,0.000000,1.219813,0.263158
Crystal Palace,10,0.138629,2.132437,0.289474
Everton,11,0.569315,1.046009,0.263158
Brighton,12,0.861371,0.136232,0.210526
Bournemouth,13,0.930685,-0.071677,0.263158
Wolves,14,1.069315,3.875502,0.289474
Fulham,15,1.361371,1.006773,0.315789
Brentford,16,2.069315,-0.519905,0.184211
Nott'm Forest,17,2.569315,-0.478096,0.157895
Burnley,18,4.207944,-1.932733,0.052632
Luton,19,4.500000,-0.787648,0.157895
Sheffield United,20,4.985203,-1.514602,0.078947
